Strain,Enviro,Activity_norm,MIC50
yAG104,0.39,1.0908328542242456,0.4
yAG104,0.2,1,0.4
yAG104,3.12,0.6987901048861526,0.4
yAG104,6.25,0.7832855561019925,0.4
yAG104,0.78,0.9675322566205992,0.4
yAG104,1.56,0.8102266935089708,0.4
yAG104,12.5,0.8944854270335852,0.4
yAG106,0.78,0.7617927842162151,0.8
yAG106,1.56,0.47041821481957236,0.8
yAG106,6.25,0.407023335687734,0.8
yAG106,12.5,0.5129849715561142,0.8
yAG106,3.12,0.368775260790542,0.8
yAG106,0.2,1,0.8
yAG106,0.39,1.6226831020550874,0.8
yAG109,0.2,1,0.8
yAG109,1.56,1.225984399040323,0.8
yAG109,3.12,0.5230403692983352,0.8
yAG109,0.39,0.9582997430366176,0.8
yAG109,0.78,0.9971222615572903,0.8
yAG109,6.25,0.4711945551357798,0.8
yAG109,12.5,0.303710744617836,0.8
yAG110,0.39,1.0514308203686455,0.8
yAG110,0.78,1.0196959955500802,0.8
yAG110,6.25,0.5259578573812971,0.8
yAG110,12.5,0.5902176320678107,0.8
yAG110,1.56,0.9520387436804907,0.8
yAG110,3.12,0.7002210462832944,0.8
yAG110,0.2,1,0.8
yAG112,0.2,1,0.4
yAG112,0.39,1.0016973585994235,0.4
yAG112,0.78,1.0899405157256996,0.4
yAG112,1.56,0.960658998107159,0.4
yAG112,3.12,0.7642950444549164,0.4
yAG112,6.25,0.6630655684710474,0.4
yAG112,12.5,0.9068804190645157,0.4
yAG113,0.2,1,0.4
yAG113,0.39,1.0931000144312806,0.4
yAG113,0.78,1.1666893282613477,0.4
yAG113,1.56,0.8953507435188881,0.4
yAG113,3.12,0.6847083850426173,0.4
yAG113,6.25,0.6245377033230253,0.4
yAG113,12.5,0.7328167702425251,0.4
yAG116,0.2,1,0.8
yAG116,0.39,0.9952194409064066,0.8
yAG116,0.78,1.3331811037940358,0.8
yAG116,1.56,1.057980189421782,0.8
yAG116,3.12,0.15770765812189524,0.8
yAG116,6.25,0.10482806805496848,0.8
yAG116,12.5,0.14422295488799236,0.8
yAG118,0.2,1,0.4
yAG118,0.39,1.068732632789589,0.4
yAG118,0.78,1.0781060573083199,0.4
yAG118,1.56,0.9283084062597384,0.4
yAG118,3.12,0.8206392269259865,0.4
yAG118,6.25,0.7455419419708446,0.4
yAG118,12.5,0.9215776188196974,0.4
yAG121,0.2,1,0.4
yAG121,0.39,1.0622174724305,0.4
yAG121,0.78,1.0835781822912058,0.4
yAG121,1.56,0.9211178499209838,0.4
yAG121,3.12,0.761399238351983,0.4
yAG121,6.25,0.6359843176195022,0.4
yAG121,12.5,0.6476958062031666,0.4
yAG190,0.2,1,0.4
yAG190,0.39,0.930193951453867,0.4
yAG190,0.78,0.851302426939984,0.4
yAG190,1.56,0.8454823753332414,0.4
yAG190,3.12,0.9110955144175596,0.4
yAG190,6.25,0.8580677549815162,0.4
yAG190,12.5,0.8682911268653665,0.4
yAG32,0.2,1,0.8
yAG32,0.39,1.103026326097437,0.8
yAG32,0.78,1.0266540095548033,0.8
yAG32,1.56,0.8924303572358486,0.8
yAG32,3.12,0.8858971049375383,0.8
yAG32,6.25,0.8198452945685447,0.8
yAG32,12.5,0.7680544902400455,0.8
yAG192,0.2,1,0.4
yAG192,0.39,1.0843476357704858,0.4
yAG192,0.78,1.1230775584478536,0.4
yAG192,1.56,1.0811826805695264,0.4
yAG192,3.12,0.8774972191381353,0.4
yAG192,6.25,0.7877411551045231,0.4
yAG192,12.5,0.7069803463331625,0.4
yAG193,0.2,1,0.4
yAG193,0.39,1.0861845795541802,0.4
yAG193,0.78,1.0854899429362848,0.4
yAG193,1.56,1.1013078523941358,0.4
yAG193,3.12,0.9999319887973865,0.4
yAG193,6.25,0.8560379141237582,0.4
yAG193,12.5,0.8091708606845371,0.4
yAG003,0.2,1,0.8
yAG003,0.39,1.0060117082198365,0.8
yAG003,0.78,0.7334657283787618,0.8
yAG003,1.56,0.6451302129667927,0.8
yAG003,3.12,0.5385456050751496,0.8
yAG003,6.25,0.5442730576626815,0.8
yAG003,12.5,0.6380138489513698,0.8
yAG126,0.2,1,0.8
yAG126,0.39,1.199679269866458,0.8
yAG126,0.78,1.1361372957332196,0.8
yAG126,1.56,0.8675673081970733,0.8
yAG126,3.12,0.26233059494716415,0.8
yAG126,6.25,0.2166359161983195,0.8
yAG126,12.5,0.3721633576236745,0.8
yAG117,0.2,1,0.4
yAG117,0.39,1.1192583944688803,0.4
yAG117,0.78,1.0883412966510313,0.4
yAG117,1.56,0.9876608124007614,0.4
yAG117,3.12,0.8084556675523887,0.4
yAG117,6.25,0.6894995990012229,0.4
yAG117,12.5,0.8237601647089193,0.4
yAG98,0.2,1,0.4
yAG98,0.39,1.0550974306371754,0.4
yAG98,0.78,0.8794862131419401,0.4
yAG98,1.56,0.771193478062325,0.4
yAG98,3.12,0.8307014352913872,0.4
yAG98,6.25,0.8184277418045331,0.4
yAG98,12.5,0.8481661725190235,0.4
yAG43,0.2,1,0.4
yAG43,0.39,0.942334085110263,0.4
yAG43,0.78,0.8619476865706792,0.4
yAG43,1.56,0.9311608249179991,0.4
yAG43,3.12,0.9643999112831094,0.4
yAG43,6.25,0.9685877057877974,0.4
yAG43,12.5,1.0123610513788746,0.4
yAG60,0.2,1,0.8
yAG60,0.39,1.0416656502347432,0.8
yAG60,0.78,1.0534825349635841,0.8
yAG60,1.56,0.9843465731431625,0.8
yAG60,3.12,0.7598003200677395,0.8
yAG60,6.25,0.7386642830544231,0.8
yAG60,12.5,0.7177685187265821,0.8
yAG46,0.2,1,0.8
yAG46,0.39,1.0886409868729134,0.8
