Strain,Enviro,Activity_norm,MIC50
HSC012,16,0.9384688579476729,1
HSC012,32,0.9664554110677265,1
HSC014,0.5,1,1
HSC014,1,0.9554793703751611,1
HSC014,2,0.9363581619307714,1
HSC014,4,0.9032360156666183,1
HSC014,8,0.9695968401200263,1
HSC014,16,0.959135179473926,1
HSC014,32,0.9950385535460528,1
HSC015,0.5,1,1
HSC015,1,0.9533584305443942,1
HSC015,2,0.9575034360252198,1
HSC015,4,0.8891285026818516,1
HSC015,8,0.9591083817816518,1
HSC015,16,0.944918512633149,1
HSC015,32,0.9403655410440773,1
HSC020,0.5,1,1
HSC020,1,0.9994121073896038,1
HSC020,2,0.9933065061473507,1
HSC020,4,0.9222218013200143,1
HSC020,8,1.0399928163059164,1
HSC020,16,1.0501971247048527,1
HSC020,32,1.0391711117618596,1
HSC028,0.5,1,1
HSC028,1,1.007132124895951,1
HSC028,2,1.0413156243350594,1
HSC028,4,1.0030303647511003,1
HSC028,8,1.0286393768278874,1
HSC028,16,1.0954263372688282,1
HSC028,32,1.1470931351183087,1
HSC029,0.5,1,1
HSC029,1,1.0745344374798516,1
HSC029,2,1.0674848051413413,1
HSC029,4,0.999798522623994,1
HSC029,8,1.0645843118683411,1
HSC029,16,1.1320153780832238,1
HSC029,32,1.1807888756840819,1
HSC030,0.5,1,1
HSC030,1,1.0733497415375974,1
HSC030,2,1.051201834391314,1
HSC030,4,1.0503789022384473,1
HSC030,8,1.053963705917125,1
HSC030,16,1.0711723573868301,1
HSC030,32,1.0010374516293603,1
HSC034,0.5,1,1
HSC034,1,1.1430652073589627,1
HSC034,2,1.1702563001482567,1
HSC034,4,1.1503571216061932,1
HSC034,8,1.090469563466748,1
HSC034,16,1.1615508407996331,1
HSC034,32,1.0531195323005917,1
HSC038,0.5,1,1
HSC038,1,1.072493783154241,1
HSC038,2,1.0620323655085184,1
HSC038,4,1.117082709195338,1
HSC038,8,1.0566268643898433,1
HSC038,16,1.106242438899874,1
HSC038,32,1.0115785255313672,1
HSC041,0.5,1,1
HSC041,1,1.079021645876462,1
HSC041,2,1.084366375490606,1
HSC041,4,1.1324503568991402,1
HSC041,8,1.0891370562404121,1
HSC041,16,1.096874959735238,1
HSC041,32,1.052930866459515,1
HSC042,0.5,1,1
HSC042,1,1.1471410484442748,1
HSC042,2,1.1420937140992784,1
HSC042,4,1.1583446094669525,1
HSC042,8,1.1149939837269431,1
HSC042,16,1.09219121490294,1
HSC042,32,1.0480017624784668,1
HSC043,0.5,1,>32
HSC043,1,1.1039489818353367,>32
HSC043,2,1.1598424239529839,>32
HSC043,4,1.2215153674368486,>32
HSC043,8,1.098842180074449,>32
HSC043,16,1.1022824723785332,>32
HSC043,32,0.9902871246208913,>32
HSC044,0.5,1,1
HSC044,1,1.122129354197004,1
HSC044,2,1.1420803626209493,1
HSC044,4,1.2345923427475587,1
HSC044,8,1.119719091805775,1
HSC044,16,1.119775571331626,1
HSC044,32,1.100542157393195,1
HSC046,0.5,1,1
HSC046,1,1.069749881258173,1
HSC046,2,1.1532401576912885,1
HSC046,4,1.1079037927968927,1
HSC046,8,1.1149366281316646,1
HSC046,16,1.054890107390741,1
HSC046,32,0.9898400619849671,1
HSC047,0.5,1,1
HSC047,1,0.9316854349498411,1
HSC047,2,1.0058733900397128,1
HSC047,4,1.0860104825324532,1
HSC047,8,0.9464363210018634,1
HSC047,16,0.9588278892317172,1
HSC047,32,0.9500242657304621,1
HSC048,0.5,1,1
HSC048,1,1.036759214828417,1
HSC048,2,1.049710722609042,1
HSC048,4,1.0645457172744954,1
HSC048,8,1.080868613332574,1
HSC048,16,1.072515536473818,1
HSC048,32,1.084817479420825,1
HSC050,0.5,1,1
HSC050,1,1.1186023869668718,1
HSC050,2,1.0547500534928256,1
HSC050,4,1.090345146249425,1
HSC050,8,1.1154013414839727,1
HSC050,16,1.152346470383094,1
HSC050,32,1.1335010194560038,1
HSC051,0.5,1,1
HSC051,1,1.0467893542489548,1
HSC051,2,1.0194117407622572,1
HSC051,4,1.0241393930950728,1
HSC051,8,1.0318657616636548,1
HSC051,16,1.0068524388962323,1
HSC051,32,1.0394611125192945,1
HSC054,0.5,1,1
HSC054,1,1.1641548748243264,1
HSC054,2,1.1450241322313508,1
HSC054,4,1.1202930812906524,1
HSC054,8,1.1103068411496577,1
HSC054,16,1.0559966947010186,1
HSC054,32,1.005159509801242,1
HSC055,0.5,1,1
HSC055,1,1.1870762333593816,1
HSC055,2,1.0758418288112075,1
HSC055,4,1.0399300222613408,1
HSC055,8,1.0923041824209088,1
HSC055,16,1.0680627527681523,1
HSC055,32,0.9885294277800722,1
HSC057,0.5,1,1
HSC057,1,1.1519088277285654,1
HSC057,2,1.0990190931013522,1
HSC057,4,1.1556811318387747,1
HSC057,8,1.1797767623967559,1
HSC057,16,1.0981046714798939,1
HSC057,32,1.0449626552809541,1
HSC058,0.5,1,1
HSC058,1,1.1759073639350424,1
HSC058,2,1.1098524198035473,1
HSC058,4,1.1465896008229182,1
HSC058,8,1.1489961650299003,1
HSC058,16,1.1132692124413037,1
HSC058,32,1.0114317378744233,1
HSC059,0.5,1,>32
HSC059,1,1.1491042618160356,>32
HSC059,2,1.1133736770553095,>32
HSC059,4,1.1028733420070505,>32
HSC059,8,1.0906192873273235,>32
HSC059,16,1.1251958518615413,>32
HSC059,32,1.0667560473635826,>32
HSC062,0.5,1,1
HSC062,1,1.11233052113549,1
HSC062,2,1.1662721957060327,1
HSC062,4,1.1940178473095575,1
HSC062,8,1.1828989287810314,1
HSC062,16,1.1040262122917393,1
HSC062,32,1.0616919469338295,1
HSC063,0.5,1,2
HSC063,1,1.1467336705553504,2
HSC063,2,1.0986641816393141,2
HSC063,4,1.1387682463164952,2
HSC063,8,1.1218421070851723,2
HSC063,16,1.048911075445848,2
HSC063,32,0.9952081006839312,2
HSC074,0.5,1,1
HSC074,1,1.1001737252629329,1
HSC074,2,1.0527590950241499,1
HSC074,4,1.0187780790405607,1
HSC074,8,1.0206236978072303,1
HSC074,16,1.0379867807929588,1
HSC074,32,1.1360581559069263,1
HSC077,0.5,1,>32
HSC077,1,0.9808430832508485,>32
HSC077,2,0.9574062776034225,>32
HSC077,4,0.936736230666157,>32
HSC077,8,0.9290250391927427,>32
HSC077,16,0.9493362469692582,>32
HSC077,32,0.9213495763081633,>32
HSC078,0.5,1,1
HSC078,1,1.103943858793511,1
HSC078,2,1.1807375553790036,1
HSC078,4,1.1673440262044779,1
HSC078,8,1.1706931907632652,1
HSC078,16,1.202402846025089,1
HSC078,32,1.0708173237368688,1
HSC080,0.5,1,1
HSC080,1,1.151767643536992,1
HSC080,2,1.1557605738691548,1
HSC080,4,1.2375905522494512,1
HSC080,8,1.2018352444422966,1
HSC080,16,1.2155098485382843,1
HSC080,32,1.131332876729162,1
HSC081,0.5,1,1
HSC081,1,1.1609426140127173,1
HSC081,2,1.1930900543474188,1
HSC081,4,1.231436546550564,1
HSC081,8,1.2125188762544985,1
HSC081,16,1.1372955096742647,1
HSC081,32,0.9984112190656929,1
HSC082,0.5,1,4
HSC082,1,1.1529620045086477,4
HSC082,2,1.1382586524153833,4
HSC082,4,1.174948715155791,4
HSC082,8,1.0958782247490853,4
HSC082,16,1.0887423607258302,4
HSC082,32,0.9498764629634595,4
HSC090,0.5,1,1
HSC090,1,1.1917674383698005,1
HSC090,2,1.1406756881783398,1
HSC090,4,1.1526258607970374,1
HSC090,8,1.162195230312471,1
HSC090,16,1.1646990426634543,1
HSC090,32,1.0522909878898759,1
HSC094,0.5,1,1
HSC094,1,1.1201247874125266,1
HSC094,2,1.0984410100323876,1
HSC094,4,1.0704372687235704,1
HSC094,8,1.134117646835206,1
HSC094,16,1.1268566648997278,1
HSC094,32,1.0383453124572153,1
HSC097,0.5,1,1
HSC097,1,1.0761810790592181,1
HSC097,2,1.0356839343958528,1
HSC097,4,1.0836197911991476,1
HSC097,8,1.0289406272256751,1
HSC097,16,1.0517930637093,1
HSC097,32,0.9221010239504883,1
HSC098,0.5,1,>32
HSC098,1,1.1907755513235416,>32
HSC098,2,1.1808602608917849,>32
HSC098,4,1.1110367358656632,>32
HSC098,8,1.1881432450622618,>32
HSC098,16,1.173719140961092,>32
HSC098,32,1.1052028039816066,>32
HSC099,0.5,1,>32
HSC099,1,1.0718185251317622,>32
HSC099,2,1.0185378999931962,>32
HSC099,4,1.0610456532444592,>32
HSC099,8,1.0923271898024889,>32
HSC099,16,1.0214734924541546,>32
HSC099,32,0.9681447984670085,>32
HSC100,0.5,1,1
HSC100,1,1.0521830448867209,1
HSC100,2,1.0717305722288002,1
HSC100,4,1.0795486144180981,1
HSC100,8,1.0790927685612237,1
HSC100,16,1.0701192437731555,1
HSC100,32,1.0365922246957302,1
HSC105,0.5,1,>32
HSC105,1,1.0555532492090631,>32
HSC105,2,1.036875836730048,>32
HSC105,4,1.0153944814539508,>32
HSC105,8,1.0345795029960134,>32
HSC105,16,1.0243070477557061,>32
HSC105,32,1.0058555542587346,>32
