Strain,Enviro,MIC50,OD,Activity_norm
A01,0.5,2,1.6986931233953222,1
A01,1,2,1.8821205123663471,1.0514432672704874
A01,16,2,1.648316150502603,1.0243300340543253
A01,2,2,1.7493461344956729,1.0305305236835027
A01,32,2,1.57765036934898,1.0079468203410618
A01,4,2,1.8514802713192684,1.0526854706089779
A01,8,2,1.7003493526411104,0.9887280826839993
A06,0.5,1,1.3549868108379564,1
A06,1,1,1.6002606835859206,1.031051907319364
A06,16,1,1.6855923609915455,1.0505332633830855
A06,2,1,1.8878721962774447,1.1169959254989832
A06,32,1,1.409030206528186,1.0137255816676698
A06,4,1,1.679137785392915,1.0697606741678198
A06,8,1,1.7743154255761124,1.0853492487681544
A07,0.5,1,1.4293880159252959,1
A07,1,1,1.6688514752750803,1.038462265986287
A07,16,1,1.605178519587963,1.0108734765773475
A07,2,1,1.8052935231760459,1.0619990071726313
A07,32,1,1.3868712429464183,0.9788387640031111
A07,4,1,1.7955841639621195,1.063885437879616
A07,8,1,1.7834219139994116,1.0315634247773804
A09,0.5,1,1.2454017556304764,1
A09,1,1,1.4666498979457234,0.9576482260077447
A09,16,1,1.4291660047060493,0.9272656386115874
A09,2,1,1.4944582164485793,0.9323829407286973
A09,32,1,1.3617953361682027,0.8938717379567896
A09,4,1,1.5520099684016548,0.9375208189505606
A09,8,1,1.5008369286824819,0.9304041691308005
A11,0.5,1,1.3019856375243584,1
A11,1,1,1.5989661812861005,1.0318576330592013
A11,16,1,1.6140361291762422,0.9592894706018144
A11,2,1,1.602516692569118,1.0666224266400637
A11,32,1,1.453395218682377,0.9368536528520235
A11,4,1,1.5592004549163028,1.0827217957988275
A11,8,1,1.6224784560047507,1.06888326538758
A13,0.5,1,1.5604844714103987,1
A13,1,1,1.6829387941673546,0.963462568853155
A13,16,1,1.6242593401750953,0.9219460545759145
A13,2,1,1.5903173030619255,0.9279428389120484
A13,32,1,1.4520836313322611,0.8679101937920887
A13,4,1,1.6747203832440691,0.9448597358082436
A13,8,1,1.6546674605912521,0.9656895518229428
A14,0.5,1,1.4433189268642435,1
A14,1,1,1.548724665277135,1.0787844019841548
A14,16,1,1.638700945271034,1.0670160963548354
A14,2,1,1.6442486157138179,1.1161862725037373
A14,32,1,1.5319082892474465,1.0576284235353106
A14,4,1,1.571608805853618,1.164394596957712
A14,8,1,1.604288052055641,1.0759128899151995
A15,0.5,1,1.4459357507934694,1
A15,1,1,1.6186922312865286,1.0208551637896985
A15,16,1,1.6477752274985658,1.0181009921845752
A15,2,1,1.6596174055968802,1.0705742111609255
A15,32,1,1.4130214616672718,0.9349067051378581
A15,4,1,1.6314051577744249,1.108788561369873
A15,8,1,1.5909153576588644,1.0409183440317746
A16,0.5,1,1.4513444918540375,1
A16,1,1,1.5323604937500397,1.0018925007425192
A16,16,1,1.5037454112298325,0.9895032276613763
A16,2,1,1.4819777665922944,0.9964962578365282
A16,32,1,1.4837797239298391,0.9942486445737351
A16,4,1,1.4558133460511478,0.960763013486886
A16,8,1,1.5181610699301886,0.9959655825610834
A19,0.5,1,1.4084687203797532,1
A19,1,1,1.601645494652526,1.0211218495097236
A19,16,1,1.5938938640599358,0.9957519800158549
A19,2,1,1.5413976727200165,1.0026305111504599
A19,32,1,1.5757811430713087,0.9965499092010152
A19,4,1,1.6072481583481608,0.9977305980521013
A19,8,1,1.6707961794438526,1.0066812769343412
A20,0.5,1,1.506351005715896,1
A20,1,1,1.4414868271552665,0.9127069178908064
A20,16,1,1.636625095108698,0.9676045414613826
A20,2,1,1.5935122456567414,0.9764710515889842
A20,32,1,1.5631071619564465,0.9211712082396324
A20,4,1,1.5370679364285016,0.9390431066122855
A20,8,1,1.6363132480963873,0.9555404137070747
A21,0.5,1,1.457994147700902,1
A21,1,1,1.6729546364572039,1.1024360372428776
A21,16,1,1.6161973715252105,1.067176259341203
A21,2,1,1.5126525307247787,1.0211328439242342
A21,32,1,1.81961400978687,1.1073054305522743
A21,4,1,1.4997968790375629,1.0321730993046523
A21,8,1,1.4914888048179336,1.053731791991066
A22,0.5,1,1.442226224817522,1
A22,1,1,1.7300799505658941,1.087666545614988
A22,16,1,1.5800957034213658,0.9045089607567945
A22,2,1,1.6975748321574384,1.0053510626767446
A22,32,1,1.5472493239272571,0.8916299018575821
A22,4,1,1.6454472013239303,0.9730915658921695
A22,8,1,1.6927971769582952,0.9602534003177601
A23,0.5,>32,1.4061637863093013,1
A23,1,>32,1.618832165350618,1.1372850935396486
A23,16,>32,1.5679449034588986,1.0209397865279253
A23,2,>32,1.7601469965957481,1.124357120586181
A23,32,>32,1.4830863914944585,1.0274314498630075
A23,4,>32,1.7368265687794335,1.0715876706302132
A23,8,>32,1.6950586383621535,1.1101766190289106
A24,0.5,1,1.3603388801077296,1
