Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
yAG104,0,0.4,0.371050850340136,1.630667273557569,1.1471301020408162,1
yAG104,0.39,0.4,0.3771841836734694,1.6576216005327487,1.247396768707483,1.0908328542242456
yAG104,0.78,0.4,0.29965085034013605,1.316883749748686,1.1036301020408164,0.9675322566205992
yAG104,1.56,0.4,0.20778418367346937,0.9131548087508885,0.9145301020408163,0.8102266935089708
yAG104,12.5,0.4,0.20485085034013606,0.900263608893194,1.0126634353741497,0.8944854270335852
yAG104,3.12,0.4,0.20281751700680273,0.8913276635372921,0.8133301020408162,0.6987901048861526
yAG104,6.25,0.4,0.24475085034013605,1.0756132251393347,0.9032634353741495,0.7832855561019925
yAG106,0,0.8,0.2051341836734694,0.9521084002112308,0.31683010204081635,1
yAG106,0.39,0.8,0.3689341836734694,1.712368602396001,0.33253010204081634,1.6226831020550874
yAG106,0.78,0.8,0.2381341836734694,1.1052743750103602,0.21423010204081633,0.7617927842162151
yAG106,1.56,0.8,0.2118841836734694,0.9834378041474163,0.07791505102040817,0.47041821481957236
yAG106,12.5,0.8,0.11778418367346938,0.5466827063111106,0.19148010204081634,0.5129849715561142
yAG106,3.12,0.8,0.1201341836734694,0.557589980274079,0.12418010204081632,0.368775260790542
yAG106,6.25,0.8,0.09063418367346938,0.42066888159000865,0.1322801020408163,0.407023335687734
yAG109,0,0.8,0.3753341836734694,0.9653771001221723,0.20538010204081633,1
yAG109,0.39,0.8,0.5400841836734693,1.3891218165999377,0.19253010204081633,0.9582997430366176
yAG109,0.78,0.8,0.4168841836734694,1.0722456462202066,0.20343010204081632,0.9971222615572903
yAG109,1.56,0.8,0.3252341836734694,0.8365175535635315,0.2601801020408163,1.225984399040323
yAG109,12.5,0.8,0.25043418367346937,0.6441284501186947,0.06323010204081633,0.303710744617836
yAG109,3.12,0.8,0.3222341836734694,0.8288014130510382,0.10358010204081633,0.5230403692983352
yAG109,6.25,0.8,0.30593418367346936,0.7868770495998236,0.09573010204081632,0.4711945551357798
yAG110,0,0.8,0.8546841836734693,1.679135363781706,0.5250801020408163,1
yAG110,0.39,0.8,0.8474841836734694,1.6649900515714509,0.5471301020408164,1.0514308203686455
yAG110,0.78,0.8,0.6871341836734695,1.3499621608888934,0.5307301020408163,1.0196959955500802
yAG110,1.56,0.8,0.5020341836734694,0.9863097594835839,0.4957301020408163,0.9520387436804907
yAG110,12.5,0.8,0.3399841836734694,0.6679420034180495,0.30568010204081636,0.5902176320678107
yAG110,3.12,0.8,0.4773341836734694,0.9377834800956253,0.3576301020408163,0.7002210462832944
yAG110,6.25,0.8,0.6659841836734695,1.308410306271269,0.27243010204081636,0.5259578573812971
yAG112,0,0.4,0.2757841836734694,1.2485773044741668,0.800896768707483,1
yAG112,0.39,0.4,0.2862508503401361,1.295963787192006,0.794996768707483,1.0016973585994235
yAG112,0.78,0.4,0.30661751700680273,1.3881712424168462,0.8807634353741497,1.0899405157256996
yAG112,1.56,0.4,0.21685085034013604,0.9817642425469695,0.7676634353741496,0.960658998107159
yAG112,12.5,0.4,0.15545085034013606,0.7037836655843581,0.696896768707483,0.9068804190645157
yAG112,3.12,0.4,0.19335085034013605,0.8753710249798462,0.629496768707483,0.7642950444549164
yAG112,6.25,0.4,0.16548418367346937,0.7492082875527326,0.5272634353741497,0.6630655684710474
yAG113,0,0.4,0.3773841836734694,1.2399088543485561,1.6853301020408165,1
yAG113,0.39,0.4,0.48671751700680277,1.5991273217359918,1.836996768707483,1.0931000144312806
yAG113,0.78,0.4,0.4844508503401361,1.591680109607228,1.9824634353741497,1.1666893282613477
yAG113,1.56,0.4,0.3909175170068027,1.2843730914702935,1.5310301020408164,0.8953507435188881
yAG113,12.5,0.4,0.1828841836734694,0.6008723430053592,1.1904301020408163,0.7328167702425251
yAG113,3.12,0.4,0.29488418367346936,0.9688522364266344,1.1693301020408162,0.6847083850426173
yAG113,6.25,0.4,0.23615085034013605,0.7758818280313109,1.0494301020408163,0.6245377033230253
yAG116,0,0.8,0.15028418367346938,1.9112557342798004,0.25393010204081634,1
yAG116,0.39,0.8,0.11408418367346938,1.4508782288780602,0.2530801020408163,0.9952194409064066
yAG116,0.78,0.8,0.07928418367346939,1.0083053783813596,0.3384801020408163,1.3331811037940358
yAG116,1.56,0.8,0.05978418367346938,0.7603119707754498,0.26848010204081635,1.057980189421782
yAG116,12.5,0.8,0.04518418367346939,0.574634855337179,0.03673010204081634,0.14422295488799236
