Strain,enviro.x,OD.x,enviro.y,OD.y,MIC50
A15,0.5,1.4459357507934694,8,1.5909153576588644,1
A15,0.5,1.4459357507934694,16,1.6477752274985658,1
A15,0.5,1.4459357507934694,32,1.4130214616672718,1
A15,1,1.6186922312865286,0.5,1.4459357507934694,1
A15,1,1.6186922312865286,1,1.6186922312865286,1
A15,1,1.6186922312865286,2,1.6596174055968802,1
A15,1,1.6186922312865286,4,1.6314051577744249,1
A15,1,1.6186922312865286,8,1.5909153576588644,1
A15,1,1.6186922312865286,16,1.6477752274985658,1
A15,1,1.6186922312865286,32,1.4130214616672718,1
A15,2,1.6596174055968802,0.5,1.4459357507934694,1
A15,2,1.6596174055968802,1,1.6186922312865286,1
A15,2,1.6596174055968802,2,1.6596174055968802,1
A15,2,1.6596174055968802,4,1.6314051577744249,1
A15,2,1.6596174055968802,8,1.5909153576588644,1
A15,2,1.6596174055968802,16,1.6477752274985658,1
A15,2,1.6596174055968802,32,1.4130214616672718,1
A15,4,1.6314051577744249,0.5,1.4459357507934694,1
A15,4,1.6314051577744249,1,1.6186922312865286,1
A15,4,1.6314051577744249,2,1.6596174055968802,1
A15,4,1.6314051577744249,4,1.6314051577744249,1
A15,4,1.6314051577744249,8,1.5909153576588644,1
A15,4,1.6314051577744249,16,1.6477752274985658,1
A15,4,1.6314051577744249,32,1.4130214616672718,1
A15,8,1.5909153576588644,0.5,1.4459357507934694,1
A15,8,1.5909153576588644,1,1.6186922312865286,1
A15,8,1.5909153576588644,2,1.6596174055968802,1
A15,8,1.5909153576588644,4,1.6314051577744249,1
A15,8,1.5909153576588644,8,1.5909153576588644,1
A15,8,1.5909153576588644,16,1.6477752274985658,1
A15,8,1.5909153576588644,32,1.4130214616672718,1
A15,16,1.6477752274985658,0.5,1.4459357507934694,1
A15,16,1.6477752274985658,1,1.6186922312865286,1
A15,16,1.6477752274985658,2,1.6596174055968802,1
A15,16,1.6477752274985658,4,1.6314051577744249,1
A15,16,1.6477752274985658,8,1.5909153576588644,1
A15,16,1.6477752274985658,16,1.6477752274985658,1
A15,16,1.6477752274985658,32,1.4130214616672718,1
A15,32,1.4130214616672718,0.5,1.4459357507934694,1
A15,32,1.4130214616672718,1,1.6186922312865286,1
A15,32,1.4130214616672718,2,1.6596174055968802,1
A15,32,1.4130214616672718,4,1.6314051577744249,1
A15,32,1.4130214616672718,8,1.5909153576588644,1
A15,32,1.4130214616672718,16,1.6477752274985658,1
A15,32,1.4130214616672718,32,1.4130214616672718,1
A16,0.5,1.4513444918540375,0.5,1.4513444918540375,1
A16,0.5,1.4513444918540375,1,1.5323604937500397,1
A16,0.5,1.4513444918540375,2,1.4819777665922944,1
A16,0.5,1.4513444918540375,4,1.4558133460511478,1
A16,0.5,1.4513444918540375,8,1.5181610699301886,1
A16,0.5,1.4513444918540375,16,1.5037454112298325,1
A16,0.5,1.4513444918540375,32,1.4837797239298391,1
A16,1,1.5323604937500397,0.5,1.4513444918540375,1
A16,1,1.5323604937500397,1,1.5323604937500397,1
A16,1,1.5323604937500397,2,1.4819777665922944,1
A16,1,1.5323604937500397,4,1.4558133460511478,1
A16,1,1.5323604937500397,8,1.5181610699301886,1
A16,1,1.5323604937500397,16,1.5037454112298325,1
A16,1,1.5323604937500397,32,1.4837797239298391,1
A16,2,1.4819777665922944,0.5,1.4513444918540375,1
A16,2,1.4819777665922944,1,1.5323604937500397,1
A16,2,1.4819777665922944,2,1.4819777665922944,1
A16,2,1.4819777665922944,4,1.4558133460511478,1
A16,2,1.4819777665922944,8,1.5181610699301886,1
A16,2,1.4819777665922944,16,1.5037454112298325,1
A16,2,1.4819777665922944,32,1.4837797239298391,1
A16,4,1.4558133460511478,0.5,1.4513444918540375,1
A16,4,1.4558133460511478,1,1.5323604937500397,1
A16,4,1.4558133460511478,2,1.4819777665922944,1
A16,4,1.4558133460511478,4,1.4558133460511478,1
A16,4,1.4558133460511478,8,1.5181610699301886,1
A16,4,1.4558133460511478,16,1.5037454112298325,1
A16,4,1.4558133460511478,32,1.4837797239298391,1
A16,8,1.5181610699301886,0.5,1.4513444918540375,1
A16,8,1.5181610699301886,1,1.5323604937500397,1
A16,8,1.5181610699301886,2,1.4819777665922944,1
A16,8,1.5181610699301886,4,1.4558133460511478,1
A16,8,1.5181610699301886,8,1.5181610699301886,1
A16,8,1.5181610699301886,16,1.5037454112298325,1
A16,8,1.5181610699301886,32,1.4837797239298391,1
A16,16,1.5037454112298325,0.5,1.4513444918540375,1
A16,16,1.5037454112298325,1,1.5323604937500397,1
A16,16,1.5037454112298325,2,1.4819777665922944,1
A16,16,1.5037454112298325,4,1.4558133460511478,1
A16,16,1.5037454112298325,8,1.5181610699301886,1
A16,16,1.5037454112298325,16,1.5037454112298325,1
A16,16,1.5037454112298325,32,1.4837797239298391,1
A16,32,1.4837797239298391,0.5,1.4513444918540375,1
A16,32,1.4837797239298391,1,1.5323604937500397,1
A16,32,1.4837797239298391,2,1.4819777665922944,1
A16,32,1.4837797239298391,4,1.4558133460511478,1
A16,32,1.4837797239298391,8,1.5181610699301886,1
A16,32,1.4837797239298391,16,1.5037454112298325,1
A16,32,1.4837797239298391,32,1.4837797239298391,1
A19,0.5,1.4084687203797532,0.5,1.4084687203797532,1
A19,0.5,1.4084687203797532,1,1.601645494652526,1
A19,0.5,1.4084687203797532,2,1.5413976727200165,1
A19,0.5,1.4084687203797532,4,1.6072481583481608,1
A19,0.5,1.4084687203797532,8,1.6707961794438526,1
A19,0.5,1.4084687203797532,16,1.5938938640599358,1
A19,0.5,1.4084687203797532,32,1.5757811430713087,1
A19,1,1.601645494652526,0.5,1.4084687203797532,1
A19,1,1.601645494652526,1,1.601645494652526,1
A19,1,1.601645494652526,2,1.5413976727200165,1
A19,1,1.601645494652526,4,1.6072481583481608,1
A19,1,1.601645494652526,8,1.6707961794438526,1
A19,1,1.601645494652526,16,1.5938938640599358,1
A19,1,1.601645494652526,32,1.5757811430713087,1
A19,2,1.5413976727200165,0.5,1.4084687203797532,1
A19,2,1.5413976727200165,1,1.601645494652526,1
A19,2,1.5413976727200165,2,1.5413976727200165,1
A19,2,1.5413976727200165,4,1.6072481583481608,1
A19,2,1.5413976727200165,8,1.6707961794438526,1
A19,2,1.5413976727200165,16,1.5938938640599358,1
A19,2,1.5413976727200165,32,1.5757811430713087,1
A19,4,1.6072481583481608,0.5,1.4084687203797532,1
A19,4,1.6072481583481608,1,1.601645494652526,1
A19,4,1.6072481583481608,2,1.5413976727200165,1
A19,4,1.6072481583481608,4,1.6072481583481608,1
A19,4,1.6072481583481608,8,1.6707961794438526,1
A19,4,1.6072481583481608,16,1.5938938640599358,1
A19,4,1.6072481583481608,32,1.5757811430713087,1
A19,8,1.6707961794438526,0.5,1.4084687203797532,1
A19,8,1.6707961794438526,1,1.601645494652526,1
A19,8,1.6707961794438526,2,1.5413976727200165,1
A19,8,1.6707961794438526,4,1.6072481583481608,1
A19,8,1.6707961794438526,8,1.6707961794438526,1
A19,8,1.6707961794438526,16,1.5938938640599358,1
A19,8,1.6707961794438526,32,1.5757811430713087,1
A19,16,1.5938938640599358,0.5,1.4084687203797532,1
A19,16,1.5938938640599358,1,1.601645494652526,1
A19,16,1.5938938640599358,2,1.5413976727200165,1
A19,16,1.5938938640599358,4,1.6072481583481608,1
A19,16,1.5938938640599358,8,1.6707961794438526,1
A19,16,1.5938938640599358,16,1.5938938640599358,1
A19,16,1.5938938640599358,32,1.5757811430713087,1
A19,32,1.5757811430713087,0.5,1.4084687203797532,1
A19,32,1.5757811430713087,1,1.601645494652526,1
A19,32,1.5757811430713087,2,1.5413976727200165,1
A19,32,1.5757811430713087,4,1.6072481583481608,1
A19,32,1.5757811430713087,8,1.6707961794438526,1
A19,32,1.5757811430713087,16,1.5938938640599358,1
A19,32,1.5757811430713087,32,1.5757811430713087,1
A20,0.5,1.506351005715896,0.5,1.506351005715896,1
A20,0.5,1.506351005715896,1,1.4414868271552665,1
A20,0.5,1.506351005715896,2,1.5935122456567414,1
A20,0.5,1.506351005715896,4,1.5370679364285016,1
A20,0.5,1.506351005715896,8,1.6363132480963873,1
A20,0.5,1.506351005715896,16,1.636625095108698,1
A20,0.5,1.506351005715896,32,1.5631071619564465,1
A20,1,1.4414868271552665,0.5,1.506351005715896,1
A20,1,1.4414868271552665,1,1.4414868271552665,1
A20,1,1.4414868271552665,2,1.5935122456567414,1
A20,1,1.4414868271552665,4,1.5370679364285016,1
A20,1,1.4414868271552665,8,1.6363132480963873,1
A20,1,1.4414868271552665,16,1.636625095108698,1
A20,1,1.4414868271552665,32,1.5631071619564465,1
A20,2,1.5935122456567414,0.5,1.506351005715896,1
A20,2,1.5935122456567414,1,1.4414868271552665,1
A20,2,1.5935122456567414,2,1.5935122456567414,1
A20,2,1.5935122456567414,4,1.5370679364285016,1
A20,2,1.5935122456567414,8,1.6363132480963873,1
