Strain,Enviro,Activity_norm,MIC50
A01,1,1.0514432672704874,2
A01,2,1.0305305236835027,2
A01,16,1.0243300340543253,2
A01,32,1.0079468203410618,2
A01,4,1.0526854706089779,2
A01,8,0.9887280826839993,2
A01,0.5,1,2
A06,0.5,1,1
A06,1,1.031051907319364,1
A06,2,1.1169959254989832,1
A06,4,1.0697606741678198,1
A06,8,1.0853492487681544,1
A06,16,1.0505332633830855,1
A06,32,1.0137255816676698,1
A07,0.5,1,1
A07,1,1.038462265986287,1
A07,2,1.0619990071726313,1
A07,4,1.063885437879616,1
A07,8,1.0315634247773804,1
A07,16,1.0108734765773475,1
A07,32,0.9788387640031111,1
A09,0.5,1,1
A09,1,0.9576482260077447,1
A09,2,0.9323829407286973,1
A09,4,0.9375208189505606,1
A09,8,0.9304041691308005,1
A09,16,0.9272656386115874,1
A09,32,0.8938717379567896,1
A11,0.5,1,1
A11,1,1.0318576330592013,1
A11,2,1.0666224266400637,1
A11,4,1.0827217957988275,1
A11,8,1.06888326538758,1
A11,16,0.9592894706018144,1
A11,32,0.9368536528520235,1
A13,0.5,1,1
A13,1,0.963462568853155,1
A13,2,0.9279428389120484,1
A13,4,0.9448597358082436,1
A13,8,0.9656895518229428,1
A13,16,0.9219460545759145,1
A13,32,0.8679101937920887,1
A14,0.5,1,1
A14,1,1.0787844019841548,1
A14,2,1.1161862725037373,1
A14,4,1.164394596957712,1
A14,8,1.0759128899151995,1
A14,16,1.0670160963548354,1
A14,32,1.0576284235353106,1
A15,0.5,1,1
A15,1,1.0208551637896985,1
A15,2,1.0705742111609255,1
A15,4,1.108788561369873,1
A15,8,1.0409183440317746,1
A15,16,1.0181009921845752,1
A15,32,0.9349067051378581,1
A16,0.5,1,1
A16,1,1.0018925007425192,1
A16,2,0.9964962578365282,1
A16,4,0.960763013486886,1
A16,8,0.9959655825610834,1
A16,16,0.9895032276613763,1
A16,32,0.9942486445737351,1
A19,0.5,1,1
A19,1,1.0211218495097236,1
A19,2,1.0026305111504599,1
A19,4,0.9977305980521013,1
A19,8,1.0066812769343412,1
A19,16,0.9957519800158549,1
A19,32,0.9965499092010152,1
A20,0.5,1,1
A20,1,0.9127069178908064,1
A20,2,0.9764710515889842,1
A20,4,0.9390431066122855,1
A20,8,0.9555404137070747,1
A20,16,0.9676045414613826,1
A20,32,0.9211712082396324,1
A21,0.5,1,1
A21,1,1.1024360372428776,1
A21,2,1.0211328439242342,1
A21,4,1.0321730993046523,1
A21,8,1.053731791991066,1
A21,16,1.067176259341203,1
A21,32,1.1073054305522743,1
A22,0.5,1,1
A22,1,1.087666545614988,1
A22,2,1.0053510626767446,1
A22,4,0.9730915658921695,1
A22,8,0.9602534003177601,1
A22,16,0.9045089607567945,1
A22,32,0.8916299018575821,1
A23,0.5,1,>32
A23,1,1.1372850935396486,>32
A23,2,1.124357120586181,>32
A23,4,1.0715876706302132,>32
A23,8,1.1101766190289106,>32
A23,16,1.0209397865279253,>32
A23,32,1.0274314498630075,>32
A24,0.5,1,1
A24,1,1.0552076529938863,1
A24,2,0.9483533953873207,1
A24,4,0.9751521601212142,1
A24,8,0.9093366468262083,1
A24,16,0.9358004352885783,1
A24,32,0.8678456514399364,1
A25,0.5,1,>32
A25,1,1.0800467080042826,>32
A25,2,1.1050168678315915,>32
A25,4,1.1022584145373764,>32
A25,8,1.0610053900440883,>32
A25,16,1.0013332557224444,>32
A25,32,0.9481856093737944,>32
A26,0.5,1,1
A26,1,1.083473337140508,1
A26,2,1.1726422412854358,1
A26,4,1.1437286339590758,1
A26,8,1.1536952664034954,1
A26,16,1.0382853879948557,1
A26,32,1.1286454412441518,1
A27,0.5,1,1
A27,1,1.0728416435608064,1
A27,2,0.986736634906235,1
A27,4,0.8823567393884022,1
A27,8,0.9755234043082374,1
A27,16,0.8747570695882799,1
A27,32,0.8368540527828582,1
A28,0.5,1,1
A28,1,0.9674457840596601,1
A28,2,0.9656942903316825,1
A28,4,0.9109041191499784,1
A28,8,0.9341641013157499,1
A28,16,0.8915565074218802,1
A28,32,0.8473207246671306,1
A29,0.5,1,1
A29,1,1.0342899975282944,1
A29,2,1.0153721521083254,1
A29,4,0.9551098629680894,1
A29,8,1.0353155325386278,1
A29,16,0.9384007249605446,1
A29,32,0.9664212509662143,1
A30,0.5,1,1
A30,1,0.9554334469869279,1
A30,2,0.9362963810693984,1
A30,4,0.9031435107347906,1
A30,8,0.969567953308507,1
A30,16,0.9590953403588226,1
A30,32,0.9950354480636752,1
A31,0.5,1,1
A31,1,0.9533220358876175,1
A31,2,0.9574700784627312,1
A31,4,0.8890413445194357,1
A31,8,0.9590764382112323,1
A31,16,0.9448755305771721,1
A31,32,0.9403186716967566,1
A32,0.5,1,1
A32,1,0.9994219248152962,1
A32,2,0.9933090791682705,1
A32,4,0.9221471540591872,1
A32,8,1.0400482435933753,1
A32,16,1.050266111134357,1
A32,32,1.0392225446390335,1
A33,0.5,1,1
A33,1,1.0071435648507578,1
A33,2,1.0413649210057059,1
A33,4,1.003039195833191,1
A33,8,1.028682259540425,1
A33,16,1.0955417468075557,1
A33,32,1.1472825473746557,1
A34,0.5,1,1
A34,1,1.0746654519807057,1
A34,2,1.067611163545337,1
A34,4,0.9998063358359972,1
