Strain,enviro,OD,MIC50
A01,1,1.8821205123663471,2
A01,2,1.7493461344956729,2
A01,16,1.648316150502603,2
A01,32,1.57765036934898,2
A01,4,1.8514802713192684,2
A01,8,1.7003493526411104,2
A01,0.5,1.6986931233953222,2
A06,0.5,1.3549868108379564,1
A06,1,1.6002606835859206,1
A06,2,1.8878721962774447,1
A06,4,1.679137785392915,1
A06,8,1.7743154255761124,1
A06,16,1.6855923609915455,1
A06,32,1.409030206528186,1
A07,0.5,1.4293880159252959,1
A07,1,1.6688514752750803,1
A07,2,1.8052935231760459,1
A07,4,1.7955841639621195,1
A07,8,1.7834219139994116,1
A07,16,1.605178519587963,1
A07,32,1.3868712429464183,1
A09,0.5,1.2454017556304764,1
A09,1,1.4666498979457234,1
A09,2,1.4944582164485793,1
A09,4,1.5520099684016548,1
A09,8,1.5008369286824819,1
A09,16,1.4291660047060493,1
A09,32,1.3617953361682027,1
A11,0.5,1.3019856375243584,1
A11,1,1.5989661812861005,1
A11,2,1.602516692569118,1
A11,4,1.5592004549163028,1
A11,8,1.6224784560047507,1
A11,16,1.6140361291762422,1
A11,32,1.453395218682377,1
A13,0.5,1.5604844714103987,1
A13,1,1.6829387941673546,1
A13,2,1.5903173030619255,1
A13,4,1.6747203832440691,1
A13,8,1.6546674605912521,1
A13,16,1.6242593401750953,1
A13,32,1.4520836313322611,1
A14,0.5,1.4433189268642435,1
A14,1,1.548724665277135,1
A14,2,1.6442486157138179,1
A14,4,1.571608805853618,1
A14,8,1.604288052055641,1
A14,16,1.638700945271034,1
A14,32,1.5319082892474465,1
A15,0.5,1.4459357507934694,1
A15,1,1.6186922312865286,1
A15,2,1.6596174055968802,1
A15,4,1.6314051577744249,1
A15,8,1.5909153576588644,1
A15,16,1.6477752274985658,1
A15,32,1.4130214616672718,1
A16,0.5,1.4513444918540375,1
A16,1,1.5323604937500397,1
A16,2,1.4819777665922944,1
A16,4,1.4558133460511478,1
A16,8,1.5181610699301886,1
A16,16,1.5037454112298325,1
A16,32,1.4837797239298391,1
A19,0.5,1.4084687203797532,1
A19,1,1.601645494652526,1
A19,2,1.5413976727200165,1
A19,4,1.6072481583481608,1
A19,8,1.6707961794438526,1
A19,16,1.5938938640599358,1
A19,32,1.5757811430713087,1
A20,0.5,1.506351005715896,1
A20,1,1.4414868271552665,1
A20,2,1.5935122456567414,1
A20,4,1.5370679364285016,1
A20,8,1.6363132480963873,1
A20,16,1.636625095108698,1
A20,32,1.5631071619564465,1
A21,0.5,1.457994147700902,1
A21,1,1.6729546364572039,1
A21,2,1.5126525307247787,1
A21,4,1.4997968790375629,1
A21,8,1.4914888048179336,1
A21,16,1.6161973715252105,1
A21,32,1.81961400978687,1
