Strain,enviro,OD,MIC50
A22,0.5,1.442226224817522,1
A22,1,1.7300799505658941,1
A22,2,1.6975748321574384,1
A22,4,1.6454472013239303,1
A22,8,1.6927971769582952,1
A22,16,1.5800957034213658,1
A22,32,1.5472493239272571,1
A23,0.5,1.4061637863093013,>32
A23,1,1.618832165350618,>32
A23,2,1.7601469965957481,>32
A23,4,1.7368265687794335,>32
A23,8,1.6950586383621535,>32
A23,16,1.5679449034588986,>32
A23,32,1.4830863914944585,>32
A24,0.5,1.3603388801077296,1
A24,1,1.6221987377986171,1
A24,2,1.5343088757070542,1
A24,4,1.6969483966947538,1
A24,8,1.5581500827023482,1
A24,16,1.4910327573987645,1
A24,32,1.2669411484132933,1
A25,0.5,1.4265176726566036,>32
A25,1,1.5567343352099614,>32
A25,2,1.6500972253425576,>32
A25,4,1.6787834049565558,>32
A25,8,1.5662963950812943,>32
A25,16,1.4843548542394567,>32
A25,32,1.3894646906551893,>32
A26,0.5,1.033068672902378,1
A26,1,1.0701954991390292,1
A26,2,1.1382613472395569,1
A26,4,1.1578350141330294,1
A26,8,1.184227894008744,1
A26,16,1.201275926464349,1
A26,32,1.3569812895588769,1
A27,0.5,1.7714001028175024,1
A27,1,1.9050578913177791,1
A27,2,1.7440847045436547,1
A27,4,1.4525814466288542,1
A27,8,1.777238508555424,1
A27,16,1.5988543618128548,1
A27,32,1.447889870589453,1
A28,0.5,1.361640341506375,1
A28,1,1.5018923175682835,1
A28,2,1.6265769820610487,1
A28,4,1.6507684380675582,1
A28,8,1.6322776877060872,1
A28,16,1.4511706545214025,1
A28,32,1.348704124850326,1
A29,0.5,1.3204166225187655,1
A29,1,1.3183839465613643,1
A29,2,1.4121048273115597,1
A29,4,1.478965347196091,1
A29,8,1.5307259885399251,1
A29,16,1.3461880498358219,1
A29,32,1.4026674032236237,1
A30,0.5,1.5254480630312668,1
A30,1,1.557080950364568,1
A30,2,1.5880847745974906,1
A30,4,1.6448801859459172,1
A30,8,1.6791191918379278,1
A30,16,1.5995876427186908,1
A30,32,1.6388591534137265,1
A31,0.5,1.4371281119399466,1
A31,1,1.4704481769776192,1
A31,2,1.4310774533634538,1
A31,4,1.4925786679354762,1
A31,8,1.439697569691608,1
A31,16,1.4033936182326514,1
A31,32,1.392950015758157,1
A32,0.5,1.4830141958243586,1
A32,1,1.471820355828429,1
A32,2,1.4592388497173017,1
A32,4,1.4465648325318277,1
A32,8,1.6354724463474313,1
A32,16,1.6234460066823833,1
A32,32,1.6737720311268929,1
A33,0.5,1.5501594125273166,1
A33,1,1.4917146975908586,1
A33,2,1.663606699680048,1
A33,4,1.5319447406330093,1
A33,8,1.5781268221288114,1
A33,16,1.6296872516249012,1
A33,32,1.6758693331207037,1
A34,0.5,1.3568916575645336,1
A34,1,1.488620196222349,1
A34,2,1.5435482011058825,1
A34,4,1.4063104164492695,1
A34,8,1.5283361039450234,1
A34,16,1.6853085011346425,1
A34,32,1.7886685342762616,1
A35,0.5,1.4998188897510754,1
A35,1,1.619207991760298,1
A35,2,1.6894416076996852,1
A35,4,1.6380334970636385,1
A35,8,1.646963544451121,1
A35,16,1.7187257270604377,1
A35,32,1.585096819757663,1
A36,0.5,1.0688604139747295,1
A36,1,1.5974399201109821,1
A36,2,1.6674650185483149,1
A36,4,1.5342890132741729,1
A36,8,1.5918489109425562,1
A36,16,1.6358437371859067,1
A36,32,1.5586694794840297,1
A37,0.5,1.3866907227182368,1
A37,1,1.5799515120210539,1
A37,2,1.6019650478489351,1
A37,4,1.6652973654357728,1
A37,8,1.6583530323670403,1
A37,16,1.6582141457056656,1
A37,32,1.40009328554089,1
A38,0.5,1.2712865979572636,1
A38,1,1.4390337439397596,1
A38,2,1.6133646640321266,1
A38,4,1.4926312289468808,1
A38,8,1.4509030831800909,1
A38,16,1.3641085399851678,1
A38,32,1.2145363197144294,1
A39,0.5,1.4068382980303333,1
A39,1,1.4638607506903374,1
A39,2,1.6585904869850454,1
A39,4,1.7244572384249686,1
A39,8,1.7420682544165618,1
A39,16,1.5966803955256124,1
A39,32,1.5862068838125503,1
A40,0.5,1.407109079842219,>32
A40,1,1.5154598305599214,>32
A40,2,1.680011905576487,>32
A40,4,1.6870652092935672,>32
A40,8,1.6869151390017145,>32
A40,16,1.7572981058806652,>32
A40,32,1.4258678663238156,>32
A41,0.5,1.2593603401697842,1
A41,1,1.4096010047973282,1
A41,2,1.48249930341007,1
A41,4,1.6672789480220467,1
A41,8,1.5784755660756156,1
A41,16,1.5529806530848493,1
A41,32,1.5398043830682147,1
A42,0.5,1.4094573741260912,1
A42,1,1.504674406060163,1
A42,2,1.6570366756139736,1
A42,4,1.5476271996455644,1
A42,8,1.6001167148836688,1
A42,16,1.5807429023923512,1
A42,32,1.3816732244292405,1
A43,0.5,1.49259135199657,1
A43,1,1.5802914547164024,1
A43,2,1.5404103829234141,1
A43,4,1.4789151091514923,1
A43,8,1.4859923257286654,1
A43,16,1.5852646339327943,1
A43,32,1.3643407110507733,1
A44,0.5,1.3592758620485554,1
A44,1,1.6317331806002402,1
A44,2,1.5948586347500275,1
A44,4,1.5963501894136316,1
A44,8,1.5991675704448838,1
A44,16,1.57646279389891,1
A44,32,1.5996647553327517,1
A45,0.5,1.325482033658261,1
A45,1,1.6256122695984743,1
A45,2,1.3854601622349239,1
A45,4,1.4895234132807194,1
A45,8,1.510847195344593,1
A45,16,1.6591552975641182,1
A45,32,1.6755274897854444,1
A46,0.5,1.5323182939604514,1
A46,1,1.709658184144224,1
A46,2,1.5656196760537842,1
A46,4,1.49516518574548,1
A46,8,1.6361544106562893,1
A46,16,1.4633082009477616,1
A46,32,1.679646818113124,1
A47,0.5,1.461353747010052,1
A47,1,1.7217975054801888,1
A47,2,1.74387795143845,1
A47,4,1.6502056158544278,1
A47,8,1.6349829193234764,1
A47,16,1.5810252425107978,1
A47,32,1.5593215959716196,1
A48,0.5,1.3500283266216297,1
A48,1,1.7535764936176832,1
A48,2,1.5615504958547786,1
A48,4,1.5649378615542415,1
A48,8,1.6098769131671207,1
A48,16,1.7066802973784478,1
A48,32,1.6040807540813724,1
A49,0.5,1.4025761786102726,1
A49,1,1.6123344057146176,1
A49,2,1.5250583208303945,1
A49,4,1.5737689917626976,1
A49,8,1.6551997961350444,1
A49,16,1.558853448387565,1
A49,32,1.4542430833646742,1
A50,0.5,1.3640120560161169,1
A50,1,1.6426044464524558,1
A50,2,1.507150011808943,1
A50,4,1.5527331485149818,1
A50,8,1.5817405991460973,1
A50,16,1.570690141762815,1
A50,32,1.3326736495307152,1
A51,0.5,1.3749725258497845,>32
A51,1,1.8796603066913722,>32
A51,2,1.695672862536464,>32
A51,4,1.5808936583703814,>32
A51,8,1.5994201718443135,>32
A51,16,2.0583240400779084,>32
A51,32,1.8762531317996145,>32
A53,0.5,1.4163842901114814,1
A53,1,1.5635308489297342,1
A53,2,1.5806133804707039,1
A53,4,1.5982878809264596,1
A53,8,1.655201463733749,1
A53,16,1.5051796273293925,1
A53,32,1.3934666364104777,1
A54,0.5,1.389140221492749,2
A54,1,1.6852230350810788,2
A54,2,1.4451473849557914,2
A54,4,1.5244384253641432,2
A54,8,1.6550169244493258,2
A54,16,1.6790087571125671,2
A54,32,1.5004465927009019,2
A55,0.5,1.3126464839692287,1
A55,1,1.5779079589433398,1
A55,2,1.2669350413378664,1
A55,4,1.2332707030453116,1
A55,8,1.2796576842377283,1
A55,16,1.4262495519865792,1
A55,32,1.4348063737599377,1
A56,0.5,1.3441485916401563,>32
A56,1,1.4604247821287586,>32
A56,2,1.4174174487267874,>32
A56,4,1.422734719038304,>32
A56,8,1.4537781942393633,>32
A56,16,1.5297056864817526,>32
A56,32,1.5096877276619258,>32
A57,0.5,1.370902315402398,1
A57,1,1.5499024926884193,1
A57,2,1.4676934384212856,1
A57,4,1.5756852809161577,1
A57,8,1.5510296091136755,1
A57,16,1.561384991270718,1
A57,32,1.5178501193451923,1
A58,0.5,1.4442570726928763,1
A58,1,1.5271977133599561,1
A58,2,1.4727280426141722,1
A58,4,1.7071151031146983,1
A58,8,1.5885259370839793,1
A58,16,1.6185121687097699,1
A58,32,1.6904472243652564,1
A59,0.5,1.3107145674887386,1
A59,1,1.368121415985503,1
A59,2,1.4050150843257012,1
A59,4,1.5534162960810811,1
A59,8,1.5238111935840584,1
A59,16,1.3817217295691606,1
A59,32,1.4168120414120782,1
A60,0.5,1.3590943321771967,4
A60,1,1.5167014147163316,4
A60,2,1.4879998054360417,4
A60,4,1.584319241090949,4
A60,8,1.5541789546537523,4
A60,16,1.537490299633634,4
A60,32,1.4172168893162294,4
A61,0.5,1.022344064630389,1
A61,1,1.1397445458352362,1
A61,2,1.1202516357483938,1
A61,4,1.4285940316675403,1
A61,8,1.3599258256797992,1
A61,16,1.5513107610778905,1
A61,32,1.3550525981580888,1
A62,0.5,1.308244655049533,1
A62,1,1.5054737890628056,1
A62,2,1.4702493087145814,1
A62,4,1.497436457237318,1
A62,8,1.5924866423039554,1
A62,16,1.623867181344338,1
A62,32,1.5061726874824133,1
A63,0.5,1.3416907812901695,1
A63,1,1.431729212204242,1
A63,2,1.3173024189008458,1
A63,4,1.2822086997650461,1
A63,8,1.453210822099489,1
A63,16,1.5437455278296233,1
A63,32,1.5613278355986704,1
A64,0.5,1.4992021119901322,1
A64,1,1.5671197433721393,1
A64,2,1.5101832572634135,1
A64,4,1.5495950389291628,1
A64,8,1.5781761019692104,1
A64,16,1.7059635390877377,1
A64,32,1.5489933323388463,1
A65,0.5,1.034408388262022,>32
A65,1,1.2078964990945391,>32
A65,2,1.1266367885939554,>32
A65,4,0.9744462171839761,>32
A65,8,1.2365979041532378,>32
A65,16,1.4433577074741828,>32
A65,32,1.428915599196239,>32
A66,0.5,1.3859158641128817,>32
A66,1,1.5337026412199382,>32
A66,2,1.4135854794242642,>32
A66,4,1.4932325963953461,>32
A66,8,1.5093947548716211,>32
A66,16,1.578439495882267,>32
A66,32,1.5587863111751166,>32
A67,0.5,1.320537814103996,1
A67,1,1.4377884926867432,1
A67,2,1.4112649998655116,1
A67,4,1.4457174733449423,1
A67,8,1.4681010559110086,1
A67,16,1.5035358809764108,1
A67,32,1.5523026204228558,1
A68,0.5,1.308692414029081,>32
A68,1,1.4779492453498013,>32
A68,2,1.4735698160774873,>32
A68,4,1.529772491738848,>32
A68,8,1.6092510229771353,>32
A68,16,1.6048715937048215,>32
A68,32,1.7047063610051603,>32
