Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm,PreMass
yAG104,0,0.4,0.371050850340136,0.14350544217687072,1.1471301020408162,0,0.2275454081632653
yAG104,0.39,0.4,0.3771841836734694,0.1496387755102041,1.247396768707483,0.10026666666666677,0.2275454081632653
yAG104,0.78,0.4,0.29965085034013605,0.07210544217687076,1.1036301020408164,-0.04349999999999998,0.2275454081632653
yAG104,1.56,0.4,0.20778418367346937,-0.01976122448979592,0.9145301020408163,-0.23259999999999995,0.2275454081632653
yAG104,12.5,0.4,0.20485085034013606,-0.022694557823129236,1.0126634353741497,-0.1344666666666666,0.2275454081632653
yAG104,3.12,0.4,0.20281751700680273,-0.024727891156462567,0.8133301020408162,-0.3338,0.2275454081632653
yAG104,6.25,0.4,0.24475085034013605,0.017205442176870755,0.9032634353741495,-0.24386666666666668,0.2275454081632653
yAG106,0,0.8,0.2051341836734694,-0.010318367346938778,0.31683010204081635,0,0.21545255102040817
yAG106,0.39,0.8,0.3689341836734694,0.15348163265306125,0.33253010204081634,0.015700000000000006,0.21545255102040817
yAG106,0.78,0.8,0.2381341836734694,0.022681632653061223,0.21423010204081633,-0.1026,0.21545255102040817
yAG106,1.56,0.8,0.2118841836734694,-0.0035683673469387722,0.07791505102040817,-0.23891505102040816,0.21545255102040817
yAG106,12.5,0.8,0.11778418367346938,-0.09766836734693879,0.19148010204081634,-0.12535000000000002,0.21545255102040817
yAG106,3.12,0.8,0.1201341836734694,-0.09531836734693877,0.12418010204081632,-0.19265,0.21545255102040817
yAG106,6.25,0.8,0.09063418367346938,-0.12481836734693878,0.1322801020408163,-0.18455000000000005,0.21545255102040817
yAG109,0,0.8,0.3753341836734694,-0.01346122448979592,0.20538010204081633,0,0.3887954081632653
yAG109,0.39,0.8,0.5400841836734693,0.15128877551020403,0.19253010204081633,-0.01285,0.3887954081632653
yAG109,0.78,0.8,0.4168841836734694,0.02808877551020411,0.20343010204081632,-0.0019500000000000073,0.3887954081632653
yAG109,1.56,0.8,0.3252341836734694,-0.0635612244897959,0.2601801020408163,0.054799999999999974,0.3887954081632653
yAG109,12.5,0.8,0.25043418367346937,-0.13836122448979593,0.06323010204081633,-0.14215,0.3887954081632653
yAG109,3.12,0.8,0.3222341836734694,-0.0665612244897959,0.10358010204081633,-0.1018,0.3887954081632653
yAG109,6.25,0.8,0.30593418367346936,-0.08286122448979594,0.09573010204081632,-0.10965000000000001,0.3887954081632653
yAG110,0,0.8,0.8546841836734693,0.3456816326530612,0.5250801020408163,0,0.5090025510204081
yAG110,0.39,0.8,0.8474841836734694,0.3384816326530613,0.5471301020408164,0.02204999999999996,0.5090025510204081
yAG110,0.78,0.8,0.6871341836734695,0.1781316326530613,0.5307301020408163,0.005649999999999933,0.5090025510204081
yAG110,1.56,0.8,0.5020341836734694,-0.006968367346938731,0.4957301020408163,-0.029350000000000043,0.5090025510204081
yAG110,12.5,0.8,0.3399841836734694,-0.16901836734693876,0.30568010204081636,-0.21939999999999998,0.5090025510204081
yAG110,3.12,0.8,0.4773341836734694,-0.03166836734693873,0.3576301020408163,-0.16745000000000004,0.5090025510204081
yAG110,6.25,0.8,0.6659841836734695,0.1569816326530613,0.27243010204081636,-0.25265,0.5090025510204081
yAG112,0,0.4,0.2757841836734694,0.05490544217687077,0.800896768707483,0,0.22087874149659864
yAG112,0.39,0.4,0.2862508503401361,0.06537210884353745,0.794996768707483,-0.005900000000000016,0.22087874149659864
yAG112,0.78,0.4,0.30661751700680273,0.08573877551020409,0.8807634353741497,0.07986666666666664,0.22087874149659864
yAG112,1.56,0.4,0.21685085034013604,-0.0040278911564625985,0.7676634353741496,-0.03323333333333341,0.22087874149659864
yAG112,12.5,0.4,0.15545085034013606,-0.06542789115646258,0.696896768707483,-0.10400000000000005,0.22087874149659864
yAG112,3.12,0.4,0.19335085034013605,-0.02752789115646259,0.629496768707483,-0.17140000000000002,0.22087874149659864
yAG112,6.25,0.4,0.16548418367346937,-0.05539455782312927,0.5272634353741497,-0.2736333333333334,0.22087874149659864
yAG113,0,0.4,0.3773841836734694,0.07301972789115646,1.6853301020408165,0,0.3043644557823129
yAG113,0.39,0.4,0.48671751700680277,0.18235306122448985,1.836996768707483,0.1516666666666667,0.3043644557823129
yAG113,0.78,0.4,0.4844508503401361,0.18008639455782316,1.9824634353741497,0.29713333333333325,0.3043644557823129
yAG113,1.56,0.4,0.3909175170068027,0.0865530612244898,1.5310301020408164,-0.1543000000000002,0.3043644557823129
yAG113,12.5,0.4,0.1828841836734694,-0.12148027210884352,1.1904301020408163,-0.4949000000000002,0.3043644557823129
yAG113,3.12,0.4,0.29488418367346936,-0.009480272108843557,1.1693301020408162,-0.5160000000000001,0.3043644557823129
yAG113,6.25,0.4,0.23615085034013605,-0.06821360544217686,1.0494301020408163,-0.6359000000000001,0.3043644557823129
yAG116,0,0.8,0.15028418367346938,0.07165306122448979,0.25393010204081634,0,0.07863112244897959
yAG116,0.39,0.8,0.11408418367346938,0.035453061224489796,0.2530801020408163,-8.500000000000035e-4,0.07863112244897959
yAG116,0.78,0.8,0.07928418367346939,6.530612244897982e-4,0.3384801020408163,0.08454999999999996,0.07863112244897959
yAG116,1.56,0.8,0.05978418367346938,-0.018846938775510205,0.26848010204081635,0.014549999999999993,0.07863112244897959
yAG116,12.5,0.8,0.04518418367346939,-0.0334469387755102,0.03673010204081634,-0.2172,0.07863112244897959
yAG116,3.12,0.8,0.03538418367346938,-0.04324693877551021,0.04008010204081633,-0.21385,0.07863112244897959
yAG116,6.25,0.8,0.042434183673469385,-0.0361969387755102,0.026730102040816342,-0.2272,0.07863112244897959
yAG118,0,0.4,0.5121508503401361,0.04410068027210884,1.281096768707483,0,0.46805017006802724
yAG118,0.39,0.4,0.6244175170068027,0.15636734693877546,1.365796768707483,0.0847,0.46805017006802724
yAG118,0.78,0.4,0.648750850340136,0.18070068027210878,1.377796768707483,0.09670000000000001,0.46805017006802724
yAG118,1.56,0.4,0.539850850340136,0.07180068027210879,1.1891634353741496,-0.09193333333333327,0.46805017006802724
