Strain,Biorep,32,16,8,4,2,1,0,Background
A01,1,0.4177,0.3065,0.2843,0.3036,0.3495,0.3797,0.3413,0.0673
A05,1,0.3483,0.2751,0.3066,0.2723,0.2892,0.2929,0.3022,0.067
A06,1,0.311,0.2879,0.3581,0.3539,0.405,0.2858,0.2829,0.0672
A07,1,0.3318,0.3643,0.4709,0.5298,0.5298,0.469,0.404,0.0667
A09,1,0.633,0.6224,0.691,0.7572,0.763,0.6746,0.6105,0.0686
A11,1,0.5903,0.6428,0.7207,0.7626,0.797,0.7502,0.6028,0.07
A13,1,0.625,0.6691,0.701,0.7476,0.7019,0.6942,0.6677,0.0681
A14,1,0.6445,0.6147,0.6177,0.6563,0.6478,0.6482,0.5876,0.068
A15,1,0.5258,0.6428,0.6636,0.69,0.7127,0.6979,0.598,0.0678
A16,1,0.6795,0.714,0.7192,0.7012,0.6764,0.718,0.649,0.0684
A19,1,0.6149,0.6041,0.6334,0.6326,0.5908,0.6355,0.5651,0.0682
A20,1,0.6717,0.7454,0.7608,0.7215,0.7359,0.6651,0.7011,0.0696
A21,1,0.8663,0.6207,0.6417,0.6261,0.5282,0.619,0.5704,0.0671
A22,1,0.7314,0.6778,0.6936,0.7058,0.6842,0.7076,0.6206,0.0664
A23,1,0.793,0.7829,0.8012,0.8168,0.8286,0.8135,0.7149,0.0669
A24,1,0.729,0.8072,0.7885,0.7998,0.8146,0.8302,0.7702,0.0689
A25,1,0.7323,0.8372,0.8322,0.8069,0.8374,0.8609,0.8382,0.0656
A26,1,0.6426,0.5827,0.6011,0.5428,0.5523,0.5332,0.5262,0.0657
A27,1,0.6292,0.7024,0.7046,0.6609,0.6683,0.7452,0.6193,0.0675
A28,1,0.7255,0.7765,0.7835,0.736,0.76,0.7675,0.7208,0.0661
A29,1,0.7289,0.7702,0.8323,0.7481,0.7709,0.7419,0.7141,0.0659
A30,1,0.7583,0.7786,0.8067,0.7478,0.6962,0.7541,0.7123,0.0659
A31,1,0.7168,0.7183,0.7474,0.723,0.7273,0.758,0.7751,0.0673
A32,1,0.7231,0.7408,0.732,0.6565,0.659,0.6809,0.6269,0.0667
A33,1,0.8184,0.7627,0.7656,0.7395,0.7672,0.6702,0.66,0.0696
