Strain,Biorep,12.5,6.25,3.125,1.5625,0.78125,0.390625,0,Background
A01,1,0.164,0.1531,0.1789,0.2218,0.2337,0.2815,0.3192,0.0662
A05,1,0.1431,0.172,0.1654,0.2077,0.2343,0.2751,0.2566,0.0717
A06,1,0.121,0.1451,0.1401,0.1779,0.2056,0.2087,0.2226,0.0676
A07,1,0.16,0.1814,0.2069,0.2904,0.3014,0.3652,0.2793,0.0663
A09,1,0.3348,0.3522,0.4243,0.4772,0.5859,0.5581,0.4949,0.0692
A11,1,0.2308,0.3608,0.359,0.4255,0.5462,0.4741,0.493,0.0668
A13,1,0.4184,0.5295,0.5425,0.5893,0.6242,0.818,0.5964,0.0656
A14,1,0.3651,0.4307,0.4643,0.4877,0.5503,0.6245,0.5102,0.0685
A15,1,0.3605,0.4518,0.4104,0.5231,0.6105,0.5764,0.506,0.067
A16,1,0.3992,0.5133,0.543,0.5827,0.617,0.697,0.6774,0.0669
A19,1,0.3483,0.2889,0.3548,0.4387,0.4488,0.5067,0.5403,0.0673
A20,1,0.4082,0.413,0.4695,0.5186,0.5704,0.6117,0.6728,0.0681
A21,1,0.4279,0.4872,0.4883,0.4928,0.5533,0.5993,0.5863,0.0683
A22,1,0.4293,0.4879,0.5099,0.5297,0.6089,0.6616,0.5885,0.0691
A23,1,0.3197,0.4398,0.4378,0.5445,0.6859,0.7609,0.7455,0.0672
A24,1,0.4666,0.4989,0.4775,0.5474,0.656,0.7351,0.7135,0.068
A25,1,0.4722,0.5307,0.5298,0.5862,0.7341,0.8141,0.7139,0.0681
A26,1,0.1962,0.2129,0.2107,0.3149,0.4448,0.399,0.3811,0.0665
A27,1,0.3448,0.4022,0.4105,0.5535,0.6228,0.61,0.5575,0.067
A28,1,0.4061,0.4623,0.4766,0.5401,0.6268,0.6853,0.6313,0.0667
A29,1,0.4104,0.4362,0.4735,0.5127,0.5939,0.6837,0.659,0.0667
A30,1,0.3601,0.3976,0.4065,0.5044,0.5964,0.656,0.6245,0.0668
A31,1,0.3231,0.3761,0.4364,0.4692,0.5691,0.5721,0.6338,0.068
A32,1,0.3937,0.4021,0.4219,0.4958,0.5813,0.5992,0.5786,0.0686
A33,1,0.5274,0.52,0.5055,0.5594,0.7033,0.6904,0.6401,0.0697
A34,1,0.3528,0.3371,0.3323,0.4015,0.6817,0.6046,0.5909,0.0677
A35,1,0.3123,0.4323,0.4024,0.4612,0.5885,0.6507,0.6367,0.0661
A36,1,0.2789,0.3173,0.3837,0.381,0.691,0.5832,0.5615,0.0656
A37,1,0.3503,0.5047,0.4546,0.5094,0.6317,0.6599,0.6378,0.0654
A38,1,0.237,0.3489,0.3056,0.3559,0.4449,0.5318,0.5108,0.0669
A39,1,0.2609,0.3589,0.3893,0.465,0.6428,0.636,0.647,0.0776
A40,1,0.3449,0.5222,0.5209,0.5082,0.61,0.6914,0.6549,0.067
A41,1,0.4298,0.498,0.4437,0.4909,0.6379,0.7092,0.6814,0.066
A42,1,0.4493,0.5858,0.5115,0.6435,0.7222,0.7436,0.7347,0.0714
A43,1,0.1825,0.1657,0.1713,0.1848,0.2748,0.2656,0.3145,0.0687
A44,1,0.5166,0.643,0.6713,0.6198,0.6918,0.708,0.6054,0.0688
A45,1,0.4553,0.4596,0.4111,0.4678,0.4976,0.6937,0.649,0.066
A46,1,0.3262,0.2954,0.4059,0.3769,0.4348,0.7144,0.6445,0.068
A47,1,0.2212,0.215,0.3138,0.2607,0.3383,0.513,0.456,0.0675
A48,1,0.3534,0.3699,0.4987,0.3016,0.4152,0.6107,0.6638,0.0668
A49,1,0.4645,0.4834,0.5041,0.4498,0.6647,0.6076,0.7524,0.0663
A50,1,0.3407,0.3051,0.554,0.3279,0.5622,0.4393,0.605,0.0662
A51,1,0.2636,0.2688,0.2891,0.306,0.4065,0.3461,0.4967,0.0662
A52,1,0.0987,0.101,0.1113,0.0874,0.1106,0.1095,0.124,0.0656
A53,1,0.4365,0.4976,0.5176,0.5436,0.6,0.623,0.5398,0.0664
A54,1,0.4095,0.4745,0.4993,0.4462,0.5269,0.6088,0.6973,0.0671
A55,1,0.2422,0.239,0.2388,0.2568,0.3009,0.372,0.4063,0.0685
A56,1,0.4626,0.5356,0.442,0.5469,0.5472,0.4905,0.623,0.068
A57,1,0.5956,0.5972,0.6754,0.7795,0.8096,0.798,0.8787,0.0675
A58,1,0.4238,0.5161,0.4663,0.5386,0.5831,0.7121,0.703,0.0685
A59,1,0.3859,0.422,0.425,0.5189,0.5387,0.6067,0.623,0.069
A60,1,0.44,0.4133,0.4698,0.5318,0.6344,0.6854,0.7012,0.0703
A61,1,0.0979,0.1099,0.12,0.167,0.1796,0.1754,0.1784,0.0676
A62,1,0.5207,0.4712,0.4388,0.556,0.6445,0.7163,0.7626,0.0683
A63,1,0.3635,0.3814,0.3861,0.3837,0.6068,0.6523,0.6443,0.068
A64,1,0.5147,0.4678,0.4802,0.4252,0.5676,0.6687,0.7299,0.0663
A65,1,0.2105,0.2017,0.192,0.2692,0.3484,0.4306,0.3958,0.0687
A66,1,0.5076,0.487,0.4652,0.5591,0.6349,0.7192,0.7857,0.0703
A67,1,0.5005,0.4419,0.4567,0.4867,0.5876,0.6348,0.7382,0.0689
A68,1,0.4697,0.5109,0.4864,0.5229,0.6414,0.6383,0.71,0.0682
A01,2,0.2148,0.4234,0.2818,0.2658,0.3065,0.3303,0.3282,0.0734
A05,2,0.2024,0.2198,0.2655,0.2272,0.2441,0.3,0.3029,0.068
A06,2,0.1906,0.2226,0.2712,0.2799,0.3365,0.3223,0.269,0.0662
A07,2,0.2749,0.3563,0.416,0.4836,0.5962,0.5672,0.4821,0.0654
A09,2,0.3678,0.4621,0.5662,0.6096,0.7306,0.7414,0.6868,0.0654
A11,2,0.3705,0.4651,0.6251,0.6637,0.7833,0.7368,0.6816,0.0658
A13,2,0.5277,0.6178,0.5624,0.6579,0.7055,0.7068,0.7134,0.0656
A14,2,0.4576,0.5278,0.6164,0.682,0.6877,0.6372,0.6675,0.0654
A15,2,0.4411,0.485,0.5489,0.6035,0.6511,0.652,0.6705,0.0656
A16,2,0.4853,0.586,0.5818,0.6014,0.5854,0.8077,0.7978,0.0667
A19,2,0.4387,0.5254,0.5776,0.6058,0.6897,0.8617,0.8026,0.0662
A20,2,0.4829,0.5211,0.5547,0.5591,0.655,0.7438,0.7877,0.0662
A21,2,0.4838,0.4324,0.4953,0.4947,0.5623,0.5565,0.5407,0.1139
A22,2,0.4339,0.4759,0.5205,0.5709,0.6867,0.6769,0.5023,0.0667
A23,2,0.4641,0.5817,0.5894,0.6536,0.758,0.8128,0.779,0.0662
A24,2,0.3813,0.4922,0.5285,0.4636,0.7045,0.7012,0.5894,0.0673
A25,2,0.4477,0.5991,0.6188,0.6341,0.7229,0.7911,0.7215,0.0662
A26,2,0.2462,0.3403,0.3675,0.4441,0.5413,0.5807,0.4918,0.0659
A27,2,0.3708,0.4056,0.4688,0.5324,0.603,0.442,0.4688,0.0659
A28,2,0.3722,0.5041,0.5187,0.595,0.6892,0.7638,0.6603,0.0669
A29,2,0.3994,0.4735,0.5633,0.5761,0.6133,0.6617,0.5473,0.0664
A30,2,0.3469,0.4775,0.4731,0.5215,0.5812,0.7106,0.5986,0.0675
A31,2,0.3595,0.4274,0.5074,0.5961,0.6318,0.7424,0.6739,0.0694
A32,2,0.327,0.3443,0.3715,0.4038,0.4698,0.5709,0.5502,0.068
A33,2,0.4551,0.4987,0.5332,0.6023,0.7362,0.8073,0.7521,0.0673
A34,2,0.3852,0.4039,0.4071,0.5169,0.6251,0.5516,0.6431,0.0688
A35,2,0.4285,0.4338,0.5467,0.6062,0.6722,0.7858,0.7973,0.0661
A36,2,0.2759,0.3094,0.3093,0.4052,0.4671,0.5252,0.5818,0.0666
A37,2,0.4638,0.5288,0.5217,0.6746,0.8439,0.8529,0.7803,0.0681
A38,2,0.3857,0.3483,0.3931,0.4827,0.5318,0.5611,0.5121,0.0688
A39,2,0.3889,0.4564,0.5664,0.6413,0.7262,0.7227,0.7704,0.0708
A40,2,0.4372,0.5628,0.5646,0.6628,0.784,0.8472,0.7365,0.0688
A41,2,0.4451,0.5073,0.4824,0.5074,0.6669,0.7681,0.6683,0.0681
A42,2,0.4103,0.4972,0.5211,0.5584,0.7341,0.7308,0.7207,0.0668
A43,2,0.464,0.5417,0.5708,0.5506,0.6453,0.7384,0.7455,0.0682
A44,2,0.5621,0.5632,0.6031,0.6338,0.6135,0.7049,0.6801,0.07
A45,2,0.4884,0.5928,0.5122,0.624,0.7251,0.7893,0.8152,0.0659
A46,2,0.5567,0.6251,0.5794,0.6539,0.762,0.786,0.7679,0.0685
A47,2,0.5916,0.6366,0.6485,0.7113,0.8093,0.8703,0.88,0.0659
A48,2,0.5375,0.603,0.6011,0.649,0.7737,0.7732,0.8374,0.0652
A49,2,0.5964,0.6681,0.6603,0.6199,0.7446,0.7979,0.8476,0.0661
A50,2,0.5031,0.54,0.5788,0.5771,0.5982,0.7052,0.7426,0.066
A51,2,0.4429,0.4823,0.4915,0.4567,0.38,0.5192,0.7075,0.0659
A52,2,0.2413,0.3003,0.287,0.3013,0.3554,0.2405,0.4533,0.0654
A53,2,0.5242,0.5488,0.6516,0.6311,0.6114,0.5109,0.6553,0.0656
A54,2,0.501,0.5384,0.5181,0.5294,0.6584,0.5966,0.7278,0.0666
A55,2,0.26,0.2799,0.3278,0.3086,0.3983,0.4665,0.4085,0.0688
A56,2,0.5464,0.5849,0.5128,0.6004,0.5897,0.6307,0.65,0.0679
A57,2,0.61,0.4069,0.4609,0.7092,0.7589,0.8399,0.9138,0.0694
A58,2,0.496,0.389,0.4059,0.4579,0.6255,0.7214,0.8752,0.0687
A59,2,0.4857,0.5042,0.5514,0.6164,0.7118,0.7763,0.7972,0.0673
A60,2,0.4856,0.5145,0.5063,0.6123,0.6915,0.7613,0.8228,0.067
A61,2,0.1154,0.1284,0.1379,0.1238,0.1562,0.2016,0.1935,0.0675
A62,2,0.6411,0.5664,0.479,0.4582,0.5885,0.7772,0.8181,0.0671
A63,2,0.3783,0.4779,0.4008,0.4533,0.5473,0.6965,0.7599,0.0692
A64,2,0.4803,0.5161,0.5139,0.4976,0.6174,0.716,0.7966,0.0663
