Strain,MIC50
A01,2
A06,1
A07,1
A09,1
A11,1
A13,1
A14,1
A15,1
A16,1
A19,1
A20,1
A21,1
A22,1
A23,>32
A24,1
A25,>32
A26,1
A27,1
A28,1
A29,1
A30,1
A31,1
A32,1
A33,1
A34,1
A35,1
A36,1
A37,1
A38,1
A39,1
A40,>32
A41,1
A42,1
A43,1
A44,1
A45,1
A46,1
A47,1
A48,1
A49,1
A50,1
A51,>32
A52,1
A53,1
A54,2
A55,1
A56,>32
A57,1
A58,1
A59,1
A60,4
A61,1
A62,1
A63,1
A64,1
A65,>32
A66,>32
A67,1
A68,>32
