name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
HSC001_48h_a,HSC001,48h,11,13,14,0.08,0.1,0.14,28.6
HSC001_48h_b,HSC001,48h,11,12,14,0.23,0.11,0.16,98.9
HSC002_48h_a,HSC002,48h,10,12,16,0.16,0.19,0.3,35.3
HSC002_48h_b,HSC002,48h,8,10,14,0.07,0.16,0.29,52.9
HSC003_48h_a,HSC003,48h,9,11,13,0.14,0.15,0.21,37.3
HSC003_48h_b,HSC003,48h,7,13,22,0.39,0.44,0.49,17.9
HSC005_48h_a,HSC005,48h,8,11,20,0.21,0.26,0.48,33.2
HSC005_48h_b,HSC005,48h,2,6,8,0.69,0.57,0.47,31.9
HSC006_48h_a,HSC006,48h,9,12,14,0.16,0.23,0.23,21.3
HSC006_48h_b,HSC006,48h,6,8,9,0.58,0.31,0.33,53.6
HSC007_48h_b,HSC007,48h,9,10,12,0.13,0.15,0.21,58
HSC008_48h_a,HSC008,48h,10,13,14,0.11,0.2,0.19,52.1
HSC008_48h_b,HSC008,48h,10,11,15,0.11,0.14,0.28,59.4
HSC009_48h_a,HSC009,48h,13,14,15,0.06,0.08,0.12,97.9
HSC009_48h_b,HSC009,48h,9,11,12,0.25,0.2,0.19,60.5
HSC011_48h_a,HSC011,48h,8,10,11,0.28,0.19,0.21,14.3
HSC011_48h_b,HSC011,48h,12,15,16,0.19,0.17,0.16,20.2
HSC012_48h_a,HSC012,48h,11,13,14,0.13,0.13,0.15,73.4
HSC012_48h_b,HSC012,48h,11,13,14,0.12,0.14,0.14,54.9
HSC013_48h_a,HSC013,48h,1,6,7,NA,0.7,0.5,29.8
HSC013_48h_b,HSC013,48h,2,6,9,0.53,0.47,0.47,31.9
HSC014_48h_a,HSC014,48h,9,10,12,0.15,0.16,0.19,46.4
HSC014_48h_b,HSC014,48h,10,11,12,0.06,0.08,0.12,26.3
HSC015_48h_a,HSC015,48h,10,11,13,0.06,0.1,0.18,57.6
HSC015_48h_b,HSC015,48h,11,12,13,0.06,0.09,0.12,29.9
HSC016_48h_a,HSC016,48h,8,9,11,0.16,0.14,0.24,28.9
HSC016_48h_b,HSC016,48h,7,8,10,0.22,0.16,0.23,52.9
HSC017_48h_a,HSC017,48h,4,7,8,0.56,0.39,0.3,32.5
HSC017_48h_b,HSC017,48h,3,6,7,0.62,0.45,0.39,11.5
HSC018_48h_a,HSC018,48h,10,12,13,0.09,0.12,0.15,29.5
HSC018_48h_b,HSC018,48h,8,9,10,0.13,0.15,0.21,71.2
HSC019_48h_a,HSC019,48h,12,15,16,0.14,0.17,0.17,90.3
HSC019_48h_b,HSC019,48h,12,15,16,0.11,0.17,0.17,50.8
HSC020_48h_a,HSC020,48h,10,11,13,0.06,0.09,0.16,52.1
HSC020_48h_b,HSC020,48h,9,11,13,0.23,0.2,0.24,49.9
HSC021_48h_a,HSC021,48h,11,15,16,0.16,0.22,0.23,23.1
HSC021_48h_b,HSC021,48h,13,15,23,0.2,0.15,0.38,16.5
HSC022_48h_a,HSC022,48h,10,11,13,0.28,0.22,0.3,10.8
HSC022_48h_b,HSC022,48h,5,13,16,0.32,0.55,0.5,13
HSC023_48h_a,HSC023,48h,14,16,18,0.1,0.13,0.19,68.2
HSC023_48h_b,HSC023,48h,14,16,17,0.14,0.13,0.14,67.1
HSC024_48h_a,HSC024,48h,8,10,12,0.25,0.25,0.26,31.3
HSC024_48h_b,HSC024,48h,10,11,14,0.34,0.24,0.29,25.1
HSC026_48h_a,HSC026,48h,5,8,11,0.22,0.29,0.36,38.1
HSC026_48h_b,HSC026,48h,6,8,12,0.49,0.27,0.42,35.6
HSC027_48h_b,HSC027,48h,5,8,10,0.35,0.37,0.34,35.1
HSC028_48h_a,HSC028,48h,9,11,13,0.08,0.18,0.21,58.5
HSC028_48h_b,HSC028,48h,8,9,12,0.09,0.13,0.27,54.6
HSC029_48h_a,HSC029,48h,8,11,12,0.07,0.18,0.18,88
HSC029_48h_b,HSC029,48h,10,11,13,0.13,0.14,0.21,46.3
HSC030_48h_a,HSC030,48h,11,12,13,0.13,0.12,0.13,45.4
HSC030_48h_b,HSC030,48h,8,10,12,0.42,0.29,0.28,64.3
HSC031_48h_a,HSC031,48h,4,7,8,0.53,0.37,0.31,9.4
HSC031_48h_b,HSC031,48h,7,9,11,0.34,0.27,0.29,28.2
HSC032_48h_a,HSC032,48h,11,12,13,0.05,0.07,0.1,89.8
HSC032_48h_b,HSC032,48h,11,12,14,0.07,0.07,0.15,122.7
HSC033_48h_a,HSC033,48h,12,13,14,0.08,0.08,0.11,94.8
HSC033_48h_b,HSC033,48h,11,11,12,0.08,0.07,0.11,102.6
HSC034_48h_a,HSC034,48h,10,11,13,0.12,0.14,0.19,68.7
HSC034_48h_b,HSC034,48h,10,12,14,0.07,0.14,0.18,69.9
HSC035_48h_a,HSC035,48h,9,9,12,0.19,0.17,0.26,19.9
HSC035_48h_b,HSC035,48h,8,9,11,0.39,0.19,0.24,56.1
HSC036_48h_a,HSC036,48h,2,8,10,0.27,0.53,0.42,23.3
HSC036_48h_b,HSC036,48h,6,8,17,0.47,0.3,0.56,26.4
HSC037_48h_a,HSC037,48h,3,7,8,0.25,0.42,0.32,59.8
HSC037_48h_b,HSC037,48h,7,8,9,0.14,0.14,0.18,72
HSC038_48h_a,HSC038,48h,9,12,14,0.12,0.23,0.24,68.6
HSC038_48h_b,HSC038,48h,10,13,14,0.19,0.21,0.19,28.7
HSC039_48h_a,HSC039,48h,7,8,9,0.21,0.17,0.22,86.9
HSC039_48h_b,HSC039,48h,11,12,12,0.2,0.14,0.13,99
HSC040_48h_a,HSC040,48h,10,11,11,0.11,0.12,0.11,101.5
HSC040_48h_b,HSC040,48h,11,12,13,0.08,0.08,0.1,74.8
HSC041_48h_a,HSC041,48h,9,11,12,0.08,0.16,0.17,69
HSC041_48h_b,HSC041,48h,8,10,12,0.07,0.15,0.22,52
HSC042_48h_a,HSC042,48h,12,13,15,0.08,0.09,0.15,84.2
HSC042_48h_b,HSC042,48h,9,10,12,0.09,0.09,0.17,51
HSC043_48h_a,HSC043,48h,12,13,14,0.06,0.09,0.12,63.8
HSC043_48h_b,HSC043,48h,9,10,12,0.15,0.14,0.22,75.1
HSC044_48h_a,HSC044,48h,15,16,18,0.06,0.07,0.14,40.6
HSC044_48h_b,HSC044,48h,10,11,13,0.12,0.13,0.21,33.2
HSC045_48h_a,HSC045,48h,7,9,11,0.35,0.29,0.29,60.9
HSC045_48h_b,HSC045,48h,7,8,11,0.12,0.16,0.29,54.8
HSC046_48h_a,HSC046,48h,7,12,13,0.22,0.32,0.27,59.7
HSC046_48h_b,HSC046,48h,9,10,12,0.19,0.2,0.22,62.6
HSC047_48h_a,HSC047,48h,7,9,11,0.23,0.25,0.27,56.1
HSC047_48h_b,HSC047,48h,7,8,10,0.2,0.19,0.26,62.5
HSC048_48h_a,HSC048,48h,5,10,13,0.58,0.42,0.41,43.8
HSC048_48h_b,HSC048,48h,7,11,15,0.44,0.34,0.4,42
HSC049_48h_a,HSC049,48h,9,11,13,0.13,0.19,0.21,49.4
HSC049_48h_b,HSC049,48h,8,11,12,0.33,0.24,0.23,49.1
HSC051_48h_a,HSC051,48h,11,12,13,0.15,0.14,0.15,80.3
