Strain,Drug,Species,RAD50,FoG50
yAG86,FLC,C.albicans,6,0.845
yAG87,BA,C.albicans,14,0.0975
yAG87,FLC,C.albicans,7.75,0.7825
yAG88,BA,C.albicans,14.25,0.15500000000000003
yAG88,FLC,C.albicans,7.75,0.8025
yAG89,BA,C.albicans,13.5,0.185
yAG89,FLC,C.albicans,7,0.7925
yAG90,BA,C.albicans,13.75,0.18
yAG90,FLC,C.albicans,7.5,0.8400000000000001
yAG91,BA,C.albicans,13.75,0.16499999999999998
yAG91,FLC,C.albicans,7,0.7925
yAG93,BA,C.albicans,12.25,0.10250000000000001
yAG93,FLC,C.albicans,3.75,0.7050000000000001
yAG94,BA,C.albicans,14.25,0.18
yAG94,FLC,C.albicans,2.25,0.8474999999999999
yAG95,BA,C.albicans,13.25,0.21749999999999997
yAG95,FLC,C.albicans,2.5,NA
yAG96,BA,C.albicans,14,0.1875
yAG96,FLC,C.albicans,1.5,NA
yAG97,BA,C.albicans,15.5,0.23
yAG97,FLC,C.albicans,1.75,NA
yAG98,BA,C.albicans,13.583333333333334,0.16
yAG98,FLC,C.albicans,18.666666666666668,0.6983333333333334
