Strain,Drug,Species,Type,RAD50,FoG50
yAG94,BA,C.albicans,yAG,14.25,0.18
yAG94,FLC,C.albicans,yAG,2.25,0.8475
yAG95,BA,C.albicans,yAG,13.25,0.2175
yAG95,FLC,C.albicans,yAG,2.5,
yAG96,BA,C.albicans,yAG,14,0.1875
yAG96,FLC,C.albicans,yAG,1.5,
yAG97,BA,C.albicans,yAG,15.5,0.23
yAG97,FLC,C.albicans,yAG,1.75,
yAG98,BA,C.albicans,yAG,13.25,0.185
yAG98,FLC,C.albicans,yAG,18,0.7375
HSC001,BA,C.parapsilosis,HSc,13.25,0.105
HSC001,FLC,C.parapsilosis,HSc,23.75,0.0875
HSC002,BA,C.albicans,HSc,11.66666667,0.165
HSC002,FLC,C.albicans,HSc,19.5,0.531666667
HSC003,BA,C.glabrata,HSc,7.333333333,0.49
HSC003,FLC,C.glabrata,HSc,12.66666667,0.22
HSC005,BA,C.glabrata,HSc,7.666666667,0.453333333
HSC005,FLC,C.glabrata,HSc,10,0.351666667
HSC006,BA,C.tropicalis,HSc,9,0.2725
HSC006,FLC,C.tropicalis,HSc,17.25,0.325
HSC007,BA,C.albicans,HSc,11.83333333,0.135
HSC007,FLC,C.albicans,HSc,17.83333333,0.308333333
HSC008,BA,C.albicans,HSc,12.16666667,0.158333333
HSC008,FLC,C.albicans,HSc,19.16666667,0.363333333
HSC012,BA,C.albicans,HSc,14.25,0.2075
HSC012,FLC,C.albicans,HSc,20.75,0.225
HSC013,BA,C.glabrata,HSc,7,0.465
HSC013,FLC,C.glabrata,HSc,19.5,0.331666667
HSC014,BA,C.albicans,HSc,12.66666667,0.121666667
HSC014,FLC,C.albicans,HSc,19.66666667,0.358333333
HSC015,BA,C.albicans,HSc,11.5,0.096666667
HSC015,FLC,C.albicans,HSc,17.5,0.238333333
HSC017,BA,C.glabrata,HSc,7.5,0.421666667
HSC017,FLC,C.glabrata,HSc,13.16666667,0.251666667
HSC020,BA,C.albicans,HSc,12.16666667,0.17
HSC020,FLC,C.albicans,HSc,19,0.43
HSC024,BA,C.glabrata,HSc,9.833333333,0.315
HSC024,FLC,C.glabrata,HSc,17.5,0.076666667
HSC026,BA,C.tropicalis,HSc,9,0.2825
HSC026,FLC,C.tropicalis,HSc,14.5,
HSC027,BA,C.glabrata,HSc,9,0.371666667
HSC027,FLC,C.glabrata,HSc,12.5,0.236666667
HSC028,BA,C.albicans,HSc,12.16666667,0.163333333
HSC028,FLC,C.albicans,HSc,19.83333333,0.361666667
HSC029,BA,C.albicans,HSc,13.16666667,0.138333333
HSC029,FLC,C.albicans,HSc,19.16666667,0.47
HSC030,BA,C.albicans,HSc,12,0.146666667
HSC030,FLC,C.albicans,HSc,19.16666667,0.335
HSC031,BA,C.albicans,HSc,10.5,0.27
HSC031,FLC,C.albicans,HSc,12.75,0.2025
