Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC054,FLC,C.albicans,21.166666666666668,0.4083333333333333,18,0.5233333333333333
HSC055,BA,C.albicans,13.25,0.1325,12.5,0.1125
HSC055,FLC,C.albicans,20.333333333333332,0.31833333333333336,18.666666666666668,0.37
HSC057,BA,C.albicans,14,0.20750000000000002,11.5,0.135
HSC057,FLC,C.albicans,22.166666666666668,0.355,18.333333333333332,0.3633333333333333
HSC058,BA,C.albicans,14,0.13,12.75,0.095
HSC058,FLC,C.albicans,20.333333333333332,0.31,17.833333333333332,0.37333333333333335
HSC061,BA,C.albicans,13,0.14,12,0.095
HSC061,FLC,C.albicans,20,0.39,18,0.51
HSC062,BA,C.albicans,12.75,0.1575,11.75,0.145
HSC062,FLC,C.albicans,22.166666666666668,0.14500000000000002,20.166666666666668,0.12833333333333333
HSC063,BA,C.albicans,12.5,0.185,11.5,0.175
HSC063,FLC,C.albicans,21,0.34,18,0.40249999999999997
HSC066,BA,C.glabrata,12.75,0.38,9.5,0.375
HSC066,FLC,C.glabrata,15.5,0.18833333333333332,13.833333333333334,0.15833333333333333
HSC071,BA,C.glabrata,10.5,0.38,8,0.39
HSC071,FLC,C.glabrata,15,0.12,14,0.095
HSC072,BA,C.glabrata,11.75,0.5225,7.25,0.5475000000000001
HSC072,FLC,C.glabrata,13.333333333333334,0.27166666666666667,12,0.30666666666666664
HSC073,BA,C.glabrata,12.75,0.3825,10,0.44
HSC073,FLC,C.glabrata,13.833333333333334,0.37,11.5,0.4216666666666667
HSC074,BA,C.albicans,14.25,0.165,12.5,0.12250000000000001
HSC074,FLC,C.albicans,22.5,0.30333333333333334,19.666666666666668,0.35333333333333333
HSC075,BA,C.glabrata,11.75,0.4375,8.5,0.45999999999999996
HSC075,FLC,C.glabrata,13.666666666666666,0.3616666666666667,11.333333333333334,0.4116666666666667
HSC077,BA,C.albicans,16.75,0.1475,15.75,0.14
HSC077,FLC,C.albicans,21.666666666666668,0.32666666666666666,19.5,0.42166666666666663
