Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A02_BA_3.2_t08.jpeg,95,local,0.934723,0.065277,1391744,0
A02_BA_3.2_t09.jpeg,96,local,0.934068,0.065932,1391744,0
A02_BA_3.2_t10.jpeg,97,local,0.927464,0.072536,1391744,0
A02_BA_3.2_t11.jpeg,98,local,0.928611,0.071389,1391744,0
A02_BA_3.2_t12.jpeg,99,local,0.928149,0.071851,1391744,0
A02_BA_3.2_t13.jpeg,100,local,0.916808,0.083192,1391744,0
A02_BA_3.2_t14.jpeg,101,local,0.92363,0.07637,1391744,0
A02_BA_3.2_t15.jpeg,102,local,0.926211,0.073789,1391744,0
A02_BA_3.2_t16.jpeg,103,local,0.922913,0.077087,1391744,0
A02_BA_3.2_t17.jpeg,104,local,0.919653,0.080347,1391744,0
A02_BA_3.2_t18.jpeg,105,local,0.914576,0.085424,1391744,0
A02_BA_3.2_t19.jpeg,106,local,0.932552,0.067448,1391744,0
A02_BA_3.2_t20.jpeg,107,local,0.925116,0.074884,1391744,0
A02_BA_3.2_t21.jpeg,108,local,0.924666,0.075334,1391744,0
A02_BA_3.2_t22.jpeg,109,local,0.923086,0.076914,1391744,0
A02_BA_3.2_t23.jpeg,110,local,0.923247,0.076753,1391744,0
A02_BA_3.2_t24.jpeg,111,local,0.93839,0.06161,1391744,0
A02_BA_6.4_t0.jpeg,112,local,0.978145,0.021855,1391744,0
A02_BA_6.4_t01.jpeg,113,local,0.951556,0.048444,1391744,0
A02_BA_6.4_t02.jpeg,114,local,0.926202,0.073798,1391744,0
A02_BA_6.4_t03.jpeg,115,local,0.905983,0.094017,1391744,0
A02_BA_6.4_t04.jpeg,116,local,0.895038,0.104962,1391744,0
A02_BA_6.4_t05.jpeg,117,local,0.928202,0.071798,1391744,0
A02_BA_6.4_t06.jpeg,118,local,0.9293,0.0707,1391744,0
A02_BA_6.4_t07.jpeg,119,local,0.929403,0.070597,1391744,0
A02_BA_6.4_t08.jpeg,120,local,0.924278,0.075722,1391744,0
A02_BA_6.4_t09.jpeg,121,local,0.920475,0.079525,1391744,0
A02_BA_6.4_t10.jpeg,122,local,0.934259,0.065741,1391744,0
A02_BA_6.4_t11.jpeg,123,local,0.927033,0.072967,1391744,0
A02_BA_6.4_t12.jpeg,124,local,0.923247,0.076753,1391744,0
A02_BA_6.4_t13.jpeg,125,local,0.937028,0.062972,1391744,0
A02_BA_6.4_t14.jpeg,126,local,0.936613,0.063387,1391744,0
A02_BA_6.4_t15.jpeg,127,local,0.927505,0.072495,1391744,0
A02_BA_6.4_t16.jpeg,128,local,0.912484,0.087516,1391744,0
A02_BA_6.4_t17.jpeg,129,local,0.923114,0.076886,1391744,0
A02_BA_6.4_t18.jpeg,130,local,0.919909,0.080091,1391744,0
A02_BA_6.4_t19.jpeg,131,local,0.910004,0.089996,1391744,0
A02_BA_6.4_t20.jpeg,132,local,0.915797,0.084203,1391744,0
A02_BA_6.4_t21.jpeg,133,local,0.921517,0.078483,1391744,0
A02_BA_6.4_t22.jpeg,134,local,0.910883,0.089117,1391744,0
A02_BA_6.4_t23.jpeg,135,local,0.938347,0.061653,1391744,0
A02_BA_6.4_t24.jpeg,136,local,0.915366,0.084634,1391744,0
A02_FLC_16_t0.jpeg,137,local,0.950663,0.049337,1391744,0
A02_FLC_16_t01.jpeg,138,local,0.962288,0.037712,1391744,0
A02_FLC_16_t02.jpeg,139,local,0.89661,0.10339,1391744,0
A02_FLC_16_t03.jpeg,140,local,0.790641,0.209359,1391744,0
A02_FLC_16_t04.jpeg,141,local,0.676041,0.323959,1391744,0
A02_FLC_16_t05.jpeg,142,local,0.692714,0.307286,1391744,0
A02_FLC_16_t06.jpeg,143,local,0.686098,0.313902,1391744,0
A02_FLC_16_t07.jpeg,144,local,0.64464,0.35536,1391744,0
A02_FLC_16_t08.jpeg,145,local,0.582655,0.417345,1391744,0
A02_FLC_16_t09.jpeg,146,local,0.551865,0.448135,1391744,0
A02_FLC_16_t10.jpeg,147,local,0.527944,0.472056,1391744,0
A02_FLC_16_t11.jpeg,148,local,0.513391,0.486609,1391744,0
A02_FLC_16_t12.jpeg,149,local,0.481729,0.518271,1391744,0
A02_FLC_16_t13.jpeg,150,local,0.41117,0.58883,1391744,0
A02_FLC_16_t14.jpeg,151,local,0.472599,0.527401,1391744,0
A02_FLC_16_t15.jpeg,152,local,0.469056,0.530944,1391744,0
A02_FLC_16_t16.jpeg,153,local,0.444277,0.555723,1391744,0
A02_FLC_16_t17.jpeg,154,local,0.39937,0.60063,1391744,0
A02_FLC_16_t18.jpeg,155,local,0.348392,0.651608,1391744,0
A02_FLC_16_t19.jpeg,156,local,0.367619,0.632381,1391744,0
A02_FLC_16_t20.jpeg,157,local,0.365974,0.634026,1391744,0
A02_FLC_16_t21.jpeg,158,local,0.41527,0.58473,1391744,0
A02_FLC_16_t22.jpeg,159,local,0.387634,0.612366,1391744,0
A02_FLC_16_t23.jpeg,160,local,0.40377,0.59623,1391744,0
A02_FLC_16_t24.jpeg,161,local,0.38168,0.61832,1391744,0
A02_FLC_2_t0.jpeg,162,local,0.978283,0.021717,1391744,0
A02_FLC_2_t01.jpeg,163,local,0.94785,0.05215,1391744,0
A02_FLC_2_t02.jpeg,164,local,0.867146,0.132854,1391744,0
A02_FLC_2_t03.jpeg,165,local,0.705288,0.294712,1391744,0
A02_FLC_2_t04.jpeg,166,local,0.65426,0.34574,1391744,0
A02_FLC_2_t05.jpeg,167,local,0.62545,0.37455,1391744,0
A02_FLC_2_t06.jpeg,168,local,0.638142,0.361858,1391744,0
A02_FLC_2_t07.jpeg,169,local,0.56045,0.43955,1391744,0
A02_FLC_2_t08.jpeg,170,local,0.518067,0.481933,1391744,0
A02_FLC_2_t09.jpeg,171,local,0.520961,0.479039,1391744,0
A02_FLC_2_t10.jpeg,172,local,0.553932,0.446068,1391744,0
A02_FLC_2_t11.jpeg,173,local,0.536379,0.463621,1391744,0
