Filename,OrbitId,ELB,Background,Fungi,ROIArea[pixel],ROI-Group
A05_t02.TIF,6705,local,0.892684,0.107316,1391744,0
A05_t03.TIF,6706,local,0.86374,0.13626,1391744,0
A05_t04.TIF,6707,local,0.86637,0.13363,1391744,0
A05_t05.TIF,6708,local,0.871185,0.128815,1391744,0
A05_t06.TIF,6709,local,0.891136,0.108864,1391744,0
A05_t07.TIF,6710,local,0.915195,0.084805,1391744,0
A05_t08.TIF,6711,local,0.91708,0.08292,1391744,0
A05_t09.TIF,6712,local,0.846992,0.153008,1391744,0
A05_t10.TIF,6713,local,0.799948,0.200052,1391744,0
A05_t11.TIF,6714,local,0.758238,0.241762,1391744,0
A05_t12.TIF,6715,local,0.694445,0.305555,1391744,0
A05_t13.TIF,6716,local,0.67564,0.32436,1391744,0
A05_t14.TIF,6717,local,0.679308,0.320692,1391744,0
A05_t15.TIF,6718,local,0.622681,0.377319,1391744,0
A05_t16.TIF,6719,local,0.611121,0.388879,1391744,0
A05_t17.TIF,6720,local,0.541474,0.458526,1391744,0
A05_t18.TIF,6721,local,0.559485,0.440515,1391744,0
A05_t19.TIF,6722,local,0.615273,0.384727,1391744,0
A05_t20.TIF,6723,local,0.426084,0.573916,1391744,0
A05_t21.TIF,6724,local,0.391038,0.608962,1391744,0
A05_t22.TIF,6725,local,0.476156,0.523844,1391744,0
A05_t23.TIF,6726,local,0.344205,0.655795,1391744,0
A05_t24.TIF,6727,local,0.381609,0.618391,1391744,0
A06_t0.TIF,6728,local,0.979216,0.020784,1391744,0
A06_t01.TIF,6729,local,0.987638,0.012362,1391744,0
A06_t02.TIF,6730,local,0.937326,0.062674,1391744,0
A06_t03.TIF,6731,local,0.758985,0.241015,1391744,0
A06_t04.TIF,6732,local,0.816183,0.183817,1391744,0
A06_t05.TIF,6733,local,0.628308,0.371692,1391744,0
A06_t06.TIF,6734,local,0.566718,0.433282,1391744,0
A06_t07.TIF,6735,local,0.432877,0.567123,1391744,0
A06_t08.TIF,6736,local,0.478529,0.521471,1391744,0
A06_t09.TIF,6737,local,0.426202,0.573798,1391744,0
A06_t10.TIF,6738,local,0.44309,0.55691,1391744,0
A06_t11.TIF,6739,local,0.436505,0.563495,1391744,0
A06_t12.TIF,6740,local,0.421645,0.578355,1391744,0
A06_t13.TIF,6741,local,0.418599,0.581401,1391744,0
A06_t14.TIF,6742,local,0.38205,0.61795,1391744,0
A06_t15.TIF,6743,local,0.402893,0.597107,1391744,0
A06_t16.TIF,6744,local,0.336951,0.663049,1391744,0
A06_t17.TIF,6745,local,0.391268,0.608732,1391744,0
A06_t18.TIF,6746,local,0.364078,0.635922,1391744,0
A06_t19.TIF,6747,local,0.30983,0.69017,1391744,0
A06_t20.TIF,6748,local,0.334263,0.665737,1391744,0
A06_t21.TIF,6749,local,0.342126,0.657874,1391744,0
A06_t22.TIF,6750,local,0.316176,0.683824,1391744,0
A06_t23.TIF,6751,local,0.367846,0.632154,1391744,0
A06_t24.TIF,6752,local,0.376715,0.623285,1391744,0
A07_t0.TIF,6753,local,0.977498,0.022502,1391744,0
A07_t01.TIF,6754,local,0.948822,0.051178,1391744,0
A07_t02.TIF,6755,local,0.905346,0.094654,1391744,0
A07_t03.TIF,6756,local,0.878701,0.121299,1391744,0
A07_t04.TIF,6757,local,0.89331,0.10669,1391744,0
A07_t05.TIF,6758,local,0.87412,0.12588,1391744,0
A07_t06.TIF,6759,local,0.887021,0.112979,1391744,0
A07_t07.TIF,6760,local,0.883178,0.116822,1391744,0
A07_t08.TIF,6761,local,0.867484,0.132516,1391744,0
A07_t09.TIF,6762,local,0.877882,0.122118,1391744,0
A07_t10.TIF,6763,local,0.880134,0.119866,1391744,0
A07_t11.TIF,6764,local,0.881253,0.118747,1391744,0
A07_t12.TIF,6765,local,0.869412,0.130588,1391744,0
A07_t13.TIF,6766,local,0.906462,0.093538,1391744,0
A07_t14.TIF,6767,local,0.873717,0.126283,1391744,0
A07_t15.TIF,6768,local,0.90318,0.09682,1391744,0
A07_t16.TIF,6769,local,0.923226,0.076774,1391744,0
A07_t17.TIF,6770,local,0.937898,0.062102,1391744,0
A07_t18.TIF,6771,local,0.940074,0.059926,1391744,0
A07_t19.TIF,6772,local,0.923231,0.076769,1391744,0
A07_t20.TIF,6773,local,0.886135,0.113865,1391744,0
A07_t21.TIF,6774,local,0.880749,0.119251,1391744,0
A07_t22.TIF,6775,local,0.920119,0.079881,1391744,0
A07_t23.TIF,6776,local,0.887279,0.112721,1391744,0
A07_t24.TIF,6777,local,0.906299,0.093701,1391744,0
A08_t0.TIF,6778,local,0.978107,0.021893,1391744,0
A08_t01.TIF,6779,local,0.965722,0.034278,1391744,0
A08_t02.TIF,6780,local,0.824529,0.175471,1391744,0
A08_t03.TIF,6781,local,0.852511,0.147489,1391744,0
